,nums,labels
0,sekshundrede og femogtreds; syvhundrede og syvogtredive,1
4642,femhundrede og fire; tohundrede og fireogtredive,0
4643,ethundrede og tredive; trehundrede og femogtreds,1
4644,ethundrede og toogtreds; syvhundrede og niogtreds,1
4645,syvhundrede og syvogtyve; ottehundrede og toogfirs,1
4646,seksten; trehundrede og fireoghalvfjerds,1
4647,trehundrede og syvoghalvtreds; femhundrede og treogfyrre,1
4648,ottehundrede og elleve; sekshundrede og seksogfyrre,0
4649,syvogfirs; sekshundrede og atten,1
4650,ethundrede og syvogfyrre; tohundrede og treoghalvtreds,1
4651,trehundrede og seksogfirs; halvtreds,0
4652,femhundrede og enogtredive; ottehundrede og toogfirs,1
4653,fjorten; firehundrede og treoghalvfems,1
4654,ethundrede og tre; nihundrede og treds,1
4655,trehundrede og syv; trehundrede og atten,1
4656,ethundrede og tolv; ottehundrede og femogfyrre,1
4657,syvhundrede og toogfirs; firehundrede og fireoghalvtreds,0
4658,trehundrede og seks; femhundrede og fireoghalvtreds,1
4659,syvhundrede og elleve; sekshundrede og syvogtyve,0
4660,tohundrede og treogfirs; femhundrede og otteogfirs,1
4661,nihundrede og otteogtredive; tohundrede og seksogfyrre,0
4662,trehundrede og otteogtyve; sekshundrede og fireoghalvfjerds,1
4663,firehundrede og syv; sekshundrede og tooghalvfems,1
4664,tooghalvfjerds; firehundrede og syvogtredive,1
4665,trehundrede og toogtyve; seksoghalvtreds,0
4666,nihundrede og to; syvhundrede og toogfyrre,0
4667,sekshundrede og femoghalvfjerds; trehundrede og seksten,0
4668,nihundrede og toogfirs; syvhundrede og fireoghalvfjerds,0
4669,ethundrede og otteogtyve; sekshundrede og seksogfirs,1
4670,tohundrede og tooghalvfjerds; tohundrede og syv,0
4671,femhundrede og otteogfyrre; tohundrede og femogtreds,0
4672,trehundrede og enogtredive; ottehundrede og tooghalvfems,1
4673,firehundrede og niogtreds; sekshundrede og firs,1
4674,tohundrede og otte; ethundrede og seksogtyve,0
4675,ottehundrede og halvtreds; niogfirs,0
4676,trehundrede og toogtreds; tohundrede og niogtreds,0
4677,ethundrede og otteogfyrre; tohundrede og tooghalvfems,1
4678,trehundrede og enoghalvfems; ethundrede og otteoghalvfems,0
4679,nihundrede og otteogfyrre; ethundrede og halvfjerds,0
4680,trehundrede og treogtyve; syvhundrede og seks,1
4681,trehundrede og halvfjerds; to,0
4682,firehundrede og syvogfyrre; tohundrede og fireogtreds,0
4683,trehundrede og treogtreds; femhundrede og seksoghalvfjerds,1
4684,seksogtreds; trehundrede og toogtredive,1
4685,ottehundrede og femogfyrre; treogfirs,0
4686,ethundrede og niogfyrre; nihundrede og fyrre,1
4687,ottehundrede; trehundrede og otte,0
4688,tohundrede og fireoghalvtreds; ottehundrede og atten,1
4689,seksogtyve; femhundrede og otteogtreds,1
4690,femhundrede og et; ottehundrede og nioghalvtreds,1
4691,femhundrede og treoghalvtreds; syvhundrede og otteogfyrre,1
4692,tohundrede og toogtredive; firehundrede og enogtreds,1
4693,syvhundrede og niogfirs; tohundrede og otteogfyrre,0
4694,firehundrede og tre; ethundrede og fyrre,0
4695,femhundrede og fyrre; firehundrede og fire,0
4696,trehundrede og halvfems; syvhundrede og syvoghalvfems,1
4697,niogtyve; ethundrede og toogtreds,1
4698,nihundrede og tooghalvfems; ethundrede og elleve,0
4699,trehundrede og syvogtredive; sekshundrede og syvogtreds,1
4700,firehundrede og treoghalvtreds; fireogfyrre,0
4701,sekshundrede og fireogtyve; ottehundrede og syvogtyve,1
4702,ethundrede og otteoghalvtreds; syvhundrede og syvoghalvtreds,1
4703,syvhundrede og otteogtyve; sekshundrede og halvfems,0
4704,toogfirs; femhundrede og syvoghalvtreds,1
4705,tohundrede og otte; halvtreds,0
4706,syvhundrede og ti; trehundrede og otteoghalvfems,0
4707,nihundrede og fjorten; tohundrede og fyrre,0
4708,syvhundrede og nioghalvtreds; nihundrede og toogfirs,1
4709,firehundrede og femten; ethundrede og fireogtyve,0
4710,syvhundrede og toogtreds; ethundrede og femogfyrre,0
4711,sekshundrede og syvoghalvfjerds; nihundrede og tolv,1
4712,ethundrede og otte; sekshundrede og sytten,1
4713,femhundrede og treogtyve; nihundrede og otteoghalvfems,1
4714,femhundrede og niogtreds; firehundrede og seks,0
4715,syvhundrede og toogtyve; sekshundrede og syvoghalvfjerds,0
4716,femhundrede og niogtredive; tohundrede og niogfyrre,0
4717,treogtyve; tohundrede og fireoghalvfems,1
4718,ethundrede og treoghalvfems; trehundrede og otte,1
4719,syvhundrede og enoghalvtreds; trehundrede og elleve,0
4720,femhundrede og fireogtredive; femhundrede og treds,1
4721,syvhundrede og enogtredive; firehundrede og otte,0
4722,trehundrede og fireogfyrre; ethundrede og fireogtredive,0
4723,trehundrede og femogfirs; ethundrede og femoghalvtreds,0
4724,firehundrede og tredive; toogfyrre,0
4725,sekshundrede og tredive; sekshundrede og fem,0
4726,tohundrede og nioghalvfems; firehundrede og halvfems,1
4727,trehundrede og enoghalvfjerds; ethundrede og halvfjerds,0
4728,femhundrede og otteogtyve; ottehundrede og otteoghalvfems,1
4729,ethundrede og tredive; trehundrede og sytten,1
4730,nihundrede og nioghalvfjerds; ottehundrede og niogfyrre,0
4731,firehundrede og otteoghalvtreds; ethundrede og femogtreds,0
4732,ottehundrede og femten; ethundrede og tooghalvfjerds,0
4733,sekshundrede og seksogtreds; ethundrede og enogtreds,0
4734,trehundrede og syvogfirs; ottehundrede og syvogtyve,1
4735,sekshundrede og otteogtyve; sekshundrede og tredive,1
4736,syvhundrede og seks; firehundrede og otte,0
4737,syvhundrede og fireogtreds; ethundrede og syvogtredive,0
4738,nihundrede og sytten; nihundrede og niogtyve,1
4739,syvhundrede og toogtredive; tohundrede og treogfyrre,0
4740,trehundrede og seksoghalvtreds; firehundrede og niogfirs,1
4741,femhundrede og otteoghalvfjerds; femhundrede og nioghalvtreds,0
4742,syvhundrede og otteogtreds; firehundrede og seksoghalvtreds,0
4743,trehundrede og tolv; nihundrede og sytten,1
4744,syvhundrede og fireoghalvfjerds; ethundrede og femogfirs,0
4745,nihundrede og tredive; sekshundrede og halvfems,0
4746,sekshundrede og seksogtyve; femhundrede og tooghalvfjerds,0
4747,nihundrede og treogtreds; femhundrede og seksogtreds,0
4748,tohundrede og niogtreds; femhundrede og fire,1
4749,syvhundrede og enogtredive; femhundrede og halvfems,0
4750,syvhundrede og fyrre; trehundrede og syvogtredive,0
4751,syvhundrede og femten; firehundrede og seksogtredive,0
4752,firehundrede og enogtyve; ottehundrede og enogtreds,1
4753,sekshundrede og enoghalvtreds; ethundrede og nioghalvfjerds,0
4754,tohundrede og atten; niogfyrre,0
4755,tohundrede og enoghalvtreds; sekshundrede og syvogfirs,1
4756,sekshundrede og seksogfirs; nihundrede og syvogtreds,1
4757,firehundrede og fireoghalvfems; syvhundrede og syvoghalvfems,1
4758,firehundrede og treds; tohundrede og niogfyrre,0
4759,trehundrede og tretten; trehundrede og femogtyve,1
4760,tohundrede og syvogtredive; trehundrede og nioghalvtreds,1
4761,tohundrede og syvoghalvtreds; sekshundrede og treogfyrre,1
4762,tohundrede og syvogtreds; ethundrede og treogtredive,0
4763,ethundrede og seksoghalvfems; tohundrede og syvoghalvfems,1
4764,sekshundrede og fireoghalvfjerds; ottehundrede og tre,1
4765,firehundrede og firs; syvhundrede og otteogfirs,1
4766,ottehundrede og treogfyrre; trehundrede og tooghalvfems,0
4767,femhundrede og tredive; ethundrede og seksoghalvfjerds,0
4768,nihundrede og enogfirs; tohundrede og enogfirs,0
4769,nihundrede og syv; tohundrede og otteogfirs,0
4770,syvhundrede og tyve; sekshundrede og seksogtreds,0
4771,firehundrede og otteoghalvfjerds; femhundrede og seksoghalvfjerds,1
4772,tretten; ottehundrede og seksoghalvfems,1
4773,trehundrede og syvogfyrre; ethundrede og treogfyrre,0
4774,fireoghalvtreds; tohundrede og treoghalvfems,1
4775,tohundrede og fyrre; tohundrede og seksoghalvfems,1
4776,syvhundrede og femogtredive; ethundrede og enogtredive,0
4777,syvoghalvfems; syvhundrede og nioghalvfjerds,1
4778,ottehundrede og enogtreds; femogfirs,0
4779,ethundrede og syvogfyrre; ottehundrede og femogtredive,1
4780,firehundrede og otteoghalvfjerds; ottehundrede og fireogtredive,1
4781,ottehundrede og fjorten; treoghalvfjerds,0
4782,tohundrede og fjorten; ottehundrede og femogfirs,1
4783,sekshundrede og treoghalvfjerds; trehundrede og enoghalvfjerds,0
4784,ottehundrede og femogfyrre; sekshundrede og femogtredive,0
4785,firehundrede og otteogfirs; ottehundrede og toogfyrre,1
4786,femhundrede og nioghalvfjerds; trehundrede og halvfems,0
4787,femhundrede og niogtyve; syvhundrede og treogtreds,1
4788,tohundrede og fireogtredive; tohundrede og firs,1
4789,sytten; sekshundrede og otteoghalvtreds,1
4790,nihundrede og toogtreds; trehundrede og syvogtreds,0
4791,tohundrede og toogtyve; firehundrede og femogfyrre,1
4792,trehundrede og enoghalvtreds; nihundrede og otteoghalvfems,1
4793,firehundrede og syvogfyrre; firehundrede og treoghalvfems,1
4794,femhundrede og nioghalvfjerds; firehundrede og toogtreds,0
4795,tohundrede og fjorten; trehundrede og syvogfirs,1
4796,femoghalvfjerds; trehundrede og syvoghalvfems,1
4797,femhundrede og femogfyrre; tohundrede og treoghalvfjerds,0
4798,ethundrede og femoghalvtreds; tohundrede og fire,1
4799,sekshundrede og otteoghalvtreds; nihundrede og halvtreds,1
4800,syvhundrede og tredive; nihundrede og tredive,1
4801,nihundrede og seksogfyrre; femhundrede og enogtredive,0
4802,ottehundrede og enogfyrre; ti,0
4803,femhundrede og enoghalvfjerds; syvhundrede og femogtyve,1
4804,ottehundrede og tretten; ethundrede og syvogfirs,0
4805,sekshundrede og fjorten; nihundrede og toogtyve,1
4806,firehundrede og treoghalvtreds; femhundrede og otteogfyrre,1
4807,ethundrede og halvfjerds; nihundrede og otteoghalvtreds,1
4808,firehundrede og tretten; tohundrede og nioghalvfjerds,0
4809,femhundrede og niogtyve; sekshundrede og syvoghalvtreds,1
4810,syvhundrede og elleve; firehundrede og niogfirs,0
4811,nihundrede og seksogtredive; trehundrede og seksoghalvtreds,0
4812,syvhundrede og syv; syvhundrede og fireoghalvtreds,1
4813,femhundrede og treoghalvtreds; nihundrede og treogtyve,1
4814,nihundrede og otteogtreds; femhundrede og niogtredive,0
4815,tohundrede og tre; ethundrede og tyve,0
4816,femhundrede og tolv; ottehundrede og otteogtyve,1
4817,trehundrede og niogtreds; trehundrede og seksoghalvtreds,0
4818,nihundrede; syvhundrede og fem,0
4819,sekshundrede og femoghalvtreds; femhundrede og treogtreds,0
4820,fireoghalvfems; syvhundrede og femoghalvtreds,1
4821,syvogtredive; syvhundrede og femogfyrre,1
4822,femhundrede og nioghalvtreds; ethundrede og syvogtredive,0
4823,syvhundrede og niogtredive; nihundrede og femogtredive,1
4824,syvhundrede og nioghalvfems; ottehundrede og niogfyrre,1
4825,trehundrede og syvoghalvtreds; nihundrede og otteoghalvtreds,1
4826,trehundrede og otteogtreds; ethundrede og seksoghalvtreds,0
4827,femhundrede og syvogtreds; femhundrede og fire,0
4828,ottehundrede og treogtredive; ottehundrede og tretten,0
4829,tohundrede og fireoghalvfjerds; ethundrede og toogfirs,0
4830,ethundrede og femoghalvfems; ethundrede og tolv,0
4831,ottehundrede og niogfyrre; tohundrede og femogtyve,0
4832,ottehundrede og fireogfirs; firehundrede og seksten,0
4833,to; tohundrede og fire,1
4834,treogfyrre; nihundrede og halvtreds,1
4835,femhundrede og treoghalvtreds; sekshundrede og niogtyve,1
4836,ethundrede og fireogfyrre; trehundrede og syv,1
4837,firehundrede og halvfems; trehundrede og halvfjerds,0
4838,treoghalvfjerds; ethundrede og toogfirs,1
4839,treogfyrre; nihundrede og enogtreds,1
4840,femhundrede og fjorten; tohundrede og treoghalvtreds,0
4841,trehundrede og syvogtyve; nitten,0
4842,trehundrede og ni; nihundrede og et,1
4843,syvhundrede og ni; ethundrede og nioghalvtreds,0
4844,ethundrede og enoghalvfjerds; trehundrede og enoghalvtreds,1
4845,sekshundrede og femogtyve; femhundrede og otte,0
4846,tohundrede og fireoghalvfems; femhundrede og seksogtyve,1
4847,syvhundrede og syvogfirs; nihundrede og tyve,1
4848,firehundrede og treogfirs; nihundrede og treoghalvfems,1
4849,tohundrede og otteogtredive; nihundrede og enogfyrre,1
4850,trehundrede og enogtyve; trehundrede og treoghalvtreds,1
4851,ottehundrede og syv; sekshundrede og nioghalvtreds,0
4852,firehundrede og treogtredive; femhundrede og fjorten,1
4853,sekshundrede og nioghalvfjerds; firehundrede og otteogtreds,0
4854,syvhundrede og tooghalvtreds; tohundrede og to,0
4855,sekshundrede og femogtreds; trehundrede og syvogtyve,0
4856,syvhundrede og treoghalvfjerds; femhundrede,0
4857,ottehundrede og niogtyve; ottehundrede og otte,0
4858,nihundrede og otteogtyve; ottehundrede og otteogfirs,0
4859,trehundrede og treoghalvfjerds; ottehundrede og ti,1
4860,syvhundrede og otteogtyve; trehundrede og femoghalvtreds,0
4861,syvhundrede og otteogfirs; ethundrede og nioghalvfems,0
4862,firehundrede og treoghalvfjerds; ottehundrede og syvogtreds,1
4863,nihundrede og fireogtreds; trehundrede og treogtreds,0
4864,nihundrede og seksoghalvfems; syvhundrede og seksoghalvfjerds,0
4865,sekshundrede og otteogtredive; sekshundrede og treogfirs,1
4866,trehundrede og tooghalvfems; firehundrede og fireoghalvfjerds,1
4867,ottehundrede og otteogtyve; tredive,0
4868,trehundrede; firehundrede og treogfirs,1
4869,tohundrede og otteogtreds; ottehundrede,1
4870,treoghalvfjerds; firehundrede og enoghalvfjerds,1
4871,firehundrede og halvtreds; firehundrede og seksogtyve,0
4872,femhundrede; syvhundrede og atten,1
4873,ethundrede og femoghalvfjerds; ottehundrede og halvfems,1
4874,ottehundrede og fireogfirs; syvhundrede og tooghalvtreds,0
4875,toogfyrre; ethundrede og enoghalvfjerds,1
4876,otteogtredive; tohundrede og otteogfyrre,1
4877,tohundrede og syv; ottehundrede og nitten,1
4878,ethundrede og niogfyrre; tohundrede og ni,1
4879,nihundrede og tretten; tohundrede og syvoghalvfjerds,0
4880,femhundrede og fireogtyve; femhundrede og fjorten,0
4881,femhundrede og fireogfyrre; tohundrede,0
4882,femhundrede og fireogtredive; tohundrede og enogtredive,0
4883,seksoghalvfjerds; trehundrede og treogtyve,1
4884,firehundrede og fireogtredive; femhundrede og seksogtreds,1
4885,nihundrede og otteogfirs; ottehundrede og tretten,0
4886,tohundrede og niogfirs; ethundrede og treds,0
4887,trehundrede og otteoghalvfems; nihundrede og treogfirs,1
4888,femhundrede; syv,0
4889,sekshundrede og treogtreds; tohundrede og fire,0
4890,trehundrede og treoghalvfjerds; syvhundrede og syvoghalvfjerds,1
4891,sekshundrede og to; ottehundrede og tooghalvfems,1
4892,ethundrede og syvoghalvtreds; ottehundrede og et,1
4893,nihundrede og seksoghalvfjerds; sekshundrede og nioghalvtreds,0
4894,tohundrede og seks; syvhundrede og seksogfyrre,1
4895,femhundrede og nioghalvfjerds; sekshundrede og sytten,1
4896,ottehundrede og treogfirs; ottehundrede og nioghalvfjerds,0
4897,otteoghalvtreds; tohundrede og syvogfirs,1
4898,sekshundrede og niogfyrre; syvhundrede og niogfirs,1
4899,sekshundrede og treoghalvfems; femogtredive,0
4900,femhundrede og femogfyrre; ottehundrede og fireoghalvfems,1
4901,femhundrede og nioghalvfems; ottehundrede og enoghalvtreds,1
4902,nihundrede og femogtyve; trehundrede og otteogtredive,0
4903,niogtyve; trehundrede og fjorten,1
4904,syvhundrede og femoghalvtreds; tohundrede og niogfyrre,0
4905,trehundrede og tredive; fireogtyve,0
4906,ottehundrede og niogtreds; ethundrede og halvfjerds,0
4907,sekshundrede og syvogtyve; trehundrede og fyrre,0
4908,tohundrede og fireogtreds; tredive,0
4909,tohundrede og halvfjerds; ti,0
4910,tohundrede og seksogfyrre; tredive,0
4911,femhundrede og enoghalvtreds; ethundrede og enoghalvtreds,0
4912,syvhundrede og otteoghalvtreds; ethundrede og to,0
4913,fireogfirs; otteoghalvtreds,0
4914,nihundrede og syv; sekshundrede og seks,0
4915,femhundrede og fireoghalvfjerds; nihundrede og enoghalvfems,1
4916,femhundrede og seksogfyrre; ethundrede og atten,0
4917,syvhundrede og otte; femhundrede og nioghalvfems,0
4918,firehundrede og otteoghalvfems; tohundrede og femogfirs,0
4919,ottehundrede og niogfirs; tohundrede og seksten,0
4920,trehundrede og fireogtredive; ethundrede og seksten,0
4921,firehundrede og fire; ethundrede og syvoghalvfems,0
4922,ethundrede og syvogtreds; sekshundrede og toogfirs,1
4923,femhundrede og otteogtyve; firehundrede og ti,0
4924,firehundrede og syvoghalvfjerds; seksogtreds,0
4925,femhundrede og femogtreds; femhundrede og otteoghalvtreds,0
4926,nihundrede og seksogtredive; firehundrede og otteogtreds,0
4927,femhundrede og enogtyve; tohundrede og femoghalvfjerds,0
4928,femhundrede og tooghalvtreds; syvhundrede og fireogfyrre,1
4929,syvhundrede og enogtredive; trehundrede og syvogtyve,0
4930,trehundrede og to; trehundrede og femoghalvfjerds,1
4931,nihundrede og syvoghalvfems; ottehundrede og et,0
4932,nihundrede og tooghalvfems; trehundrede og seksogtyve,0
4933,femhundrede og tooghalvtreds; trehundrede og enogtredive,0
4934,tohundrede og seksogtyve; tretten,0
4935,femhundrede og toogfirs; tohundrede og otteogfyrre,0
4936,ethundrede og syvoghalvfems; ottehundrede og fireogfyrre,1
4937,sekshundrede og syvoghalvfems; nihundrede og otte,1
4938,ethundrede og enoghalvfjerds; firehundrede og seksogfyrre,1
4939,trehundrede og seksoghalvtreds; syvhundrede og toogtredive,1
4940,syvhundrede og niogfyrre; firehundrede og otteoghalvfems,0
4941,firehundrede og femoghalvfems; fireoghalvtreds,0
4942,syvhundrede og nioghalvfems; ottehundrede og fireogfirs,1
4943,sekshundrede og ti; trehundrede og tooghalvfjerds,0
4944,femhundrede og seksogfyrre; fireogtyve,0
4945,sekshundrede og enoghalvtreds; ethundrede og femten,0
4946,ethundrede og syvogfirs; nihundrede og niogfirs,1
4947,trehundrede og fireogtyve; ottehundrede og seksoghalvfjerds,1
4948,syvhundrede og tooghalvfems; nihundrede og enoghalvfems,1
4949,ottehundrede og toogfyrre; trehundrede og seksoghalvtreds,0
4950,firehundrede og elleve; ethundrede og niogtreds,0
4951,ottehundrede og tre; halvtreds,0
4952,ethundrede og enogfirs; trehundrede og seksogtreds,1
4953,firehundrede og toogtredive; trehundrede og otteogtyve,0
4954,trehundrede og treogfirs; ethundrede og ni,0
4955,trehundrede og enoghalvtreds; ottehundrede og fireoghalvfjerds,1
4956,tohundrede og treogtreds; firehundrede og seksogtredive,1
4957,ethundrede og nitten; syvhundrede og enoghalvtreds,1
4958,otte; fireogfyrre,1
4959,ethundrede og syvogfirs; ottehundrede og fire,1
4960,ottehundrede og to; femhundrede og syvogfyrre,0
4961,nihundrede og fireoghalvtreds; tohundrede og ni,0
4962,ottehundrede og fireogtredive; ottehundrede og tooghalvfjerds,1
4963,ethundrede og fem; trehundrede og fireogfirs,1
4964,sekshundrede og ni; firehundrede og fyrre,0
4965,syvhundrede og otteoghalvfjerds; nihundrede og fireoghalvtreds,1
4966,firehundrede og syvoghalvfjerds; tohundrede og fire,0
4967,syvogtyve; tohundrede og fireogtreds,1
4968,femhundrede og ti; ethundrede og seksogfyrre,0
4969,syvhundrede og syvogfyrre; tohundrede og seksoghalvtreds,0
4970,syvhundrede og enogfyrre; ethundrede og femoghalvfems,0
4971,syvhundrede og treoghalvfems; seks,0
4972,trehundrede og seks; ethundrede og halvfems,0
4973,nihundrede og treoghalvfems; femhundrede,0
4974,firehundrede og seksoghalvfems; ethundrede og seksogtredive,0
4975,firehundrede og otteogtreds; syvhundrede og tyve,1
4976,syvhundrede og otteogtyve; fireoghalvfems,0
4977,trehundrede og halvfjerds; syvhundrede og treoghalvfjerds,1
4978,nihundrede og niogfirs; trehundrede og tyve,0
4979,syvhundrede og fireogtreds; sekshundrede og treoghalvfjerds,0
4980,firehundrede og tooghalvfjerds; femhundrede og seksogfirs,1
4981,ottehundrede og seksogfyrre; ottehundrede og tyve,0
4982,sekshundrede og seksogtreds; trehundrede og otteogtyve,0
4983,ethundrede og otteoghalvfjerds; trehundrede og tre,1
4984,sekshundrede og femoghalvfems; ottehundrede og nioghalvfems,1
4985,firehundrede og fjorten; firehundrede og syvogtyve,1
4986,femhundrede og fireogtreds; sekshundrede og treogtyve,1
4987,enogtreds; sekshundrede og ni,1
4988,femogtredive; nihundrede og niogtredive,1
4989,syvhundrede og fireoghalvfems; trehundrede og fireoghalvfems,0
4990,trehundrede og syvogtyve; ottehundrede og fireogfyrre,1
4991,femhundrede og syvoghalvfjerds; sekshundrede og femogtyve,1
4992,trehundrede og nioghalvfjerds; tohundrede og firs,0
4993,ottehundrede og syvogfirs; fireogfirs,0
4994,syvhundrede og tredive; firehundrede og seksoghalvfjerds,0
4995,syvogtreds; ottehundrede og treoghalvtreds,1
4996,syvhundrede og seksogtreds; syvhundrede og tolv,0
4997,nihundrede og nitten; trehundrede og treds,0
4998,syvhundrede og fem; firehundrede og to,0
4999,otteogfyrre; syvhundrede og treogfyrre,1
5000,sekshundrede og toogtyve; syvhundrede og seksogtyve,1
5001,ethundrede og syvoghalvtreds; sekshundrede og treoghalvtreds,1
5002,tohundrede og treogtredive; trehundrede og toogtredive,1
5003,nihundrede og toogfirs; femhundrede og fjorten,0
5004,ottehundrede og tyve; tohundrede og fem,0
5005,tohundrede og nitten; ethundrede og nioghalvfems,0
5006,firehundrede og enogtyve; femhundrede og toogfirs,1
5007,nihundrede og otteogtyve; ethundrede og seksoghalvfjerds,0
5008,firehundrede og otteogtredive; otteogtreds,0
5009,ottehundrede og sytten; firehundrede og treds,0
5010,firehundrede og seksogtyve; firehundrede og fireogtredive,1
5011,ethundrede og tooghalvfjerds; firehundrede og otteogfirs,1
5012,ottehundrede og toogtreds; trehundrede og treoghalvtreds,0
5013,ottehundrede og fireoghalvtreds; ottehundrede og femten,0
5014,firehundrede og fireogtreds; ottehundrede,1
5015,nihundrede og femogfirs; firehundrede og treogfyrre,0
5016,nihundrede og treogtreds; nihundrede og fireogtyve,0
5017,ethundrede og seksoghalvtreds; trehundrede og tooghalvtreds,1
5018,nihundrede og toogtreds; ottehundrede og otteogfirs,0
5019,femhundrede og femoghalvfems; trehundrede og fireogtredive,0
5020,nihundrede og seksogtredive; femhundrede og enoghalvfems,0
5021,nihundrede og femogfyrre; ottehundrede og seksogfyrre,0
5022,sekshundrede og femoghalvfems; tohundrede og fireogtredive,0
5023,tohundrede og fyrre; femhundrede og niogfyrre,1
5024,ethundrede og syvogtyve; tohundrede og syvoghalvfjerds,1
5025,trehundrede og toogtreds; ottehundrede og toogtredive,1
5026,tohundrede og femogtyve; trehundrede og atten,1
5027,femogfyrre; tohundrede og treogtyve,1
5028,tohundrede og treoghalvfems; femhundrede og et,1
5029,syvhundrede og seksogfirs; femhundrede og treogtreds,0
5030,nihundrede og otteoghalvfjerds; ottehundrede og firs,0
5031,seksoghalvtreds; halvfems,1
5032,ottehundrede og syvogtredive; ethundrede og otteoghalvfjerds,0
5033,syvhundrede og tretten; firehundrede og fire,0
5034,enoghalvfems; syvhundrede og seksoghalvtreds,1
5035,syvhundrede og toogtredive; sekshundrede og tolv,0
5036,firehundrede og fire; firehundrede og seksogtredive,1
5037,femhundrede og seksoghalvfjerds; trehundrede og tooghalvfjerds,0
5038,treogtyve; firehundrede og femogtyve,1
5039,sekshundrede og otteogtredive; syvhundrede og sytten,1
5040,syvhundrede og syvoghalvfems; ethundrede og fireogfyrre,0
5041,femogtreds; firehundrede og tredive,1
5042,femhundrede og niogtreds; femhundrede og et,0
5043,ethundrede og fireoghalvtreds; trehundrede og treogfirs,1
5044,ethundrede og otteogtredive; femhundrede og et,1
5045,niogtreds; syvogtreds,0
5046,nihundrede og nioghalvfjerds; otte,0
5047,nihundrede og treoghalvtreds; femhundrede og treoghalvtreds,0
5048,ethundrede og seksogfirs; femhundrede og syvoghalvtreds,1
5049,toogtredive; ottehundrede og tretten,1
5050,tohundrede og toogtyve; ethundrede og fjorten,0
5051,sekshundrede og syvogtredive; tohundrede og toogtredive,0
5052,tohundrede og syvogtreds; ethundrede og fireoghalvfems,0
5053,firehundrede og seksogfyrre; trehundrede og otteogtyve,0
5054,ottehundrede og otteogtyve; tohundrede og tre,0
5055,nihundrede og fireoghalvtreds; ethundrede og syvoghalvfems,0
5056,trehundrede og seksogtredive; femhundrede og fireogtredive,1
5057,sekshundrede og nitten; femhundrede og syvoghalvtreds,0
5058,firehundrede og fireoghalvtreds; trehundrede og treogfirs,0
5059,trehundrede og seksten; tohundrede og femogtredive,0
5060,tohundrede og enoghalvfjerds; firehundrede og toogfyrre,1
5061,ottehundrede og seksogtyve; ottehundrede og seksoghalvfjerds,1
5062,tohundrede og enoghalvfjerds; syvhundrede og femogfyrre,1
5063,ottehundrede og tolv; treoghalvfjerds,0
5064,firehundrede og otteogfirs; trehundrede og seksogtyve,0
5065,trehundrede og enogtredive; nihundrede og syvogfirs,1
5066,treogtyve; sekshundrede og seksoghalvfjerds,1
5067,nihundrede og seksogtredive; ottehundrede og toogfirs,0
5068,trehundrede og et; trehundrede og otteogfirs,1
5069,ottehundrede og fireoghalvfems; syvhundrede og ni,0
5070,tohundrede og tooghalvtreds; sekshundrede og ti,1
5071,sekshundrede og halvtreds; femogtredive,0
5072,sekshundrede og otteogtyve; sekshundrede og otteogfirs,1
5073,firehundrede og atten; tohundrede og halvtreds,0
5074,niogtredive; ottehundrede og toogfirs,1
5075,syvhundrede og tre; nihundrede og seksogtreds,1
5076,ethundrede og fjorten; femhundrede og fyrre,1
5077,femhundrede og enogtyve; trehundrede og treoghalvfems,0
5078,syvhundrede og treoghalvfems; firehundrede og otteogfyrre,0
5079,nihundrede og tre; fem,0
5080,tohundrede og treoghalvfjerds; firehundrede og enogfyrre,1
5081,trehundrede og enoghalvfjerds; ethundrede og seksoghalvfems,0
5082,syvhundrede og treogtreds; trehundrede og seksogtyve,0
5083,firehundrede og et; trehundrede og enoghalvfems,0
5084,syvhundrede og tre; femhundrede og halvfems,0
5085,firehundrede og treoghalvtreds; sekshundrede og atten,1
5086,ottehundrede og nioghalvtreds; sekshundrede og toogtreds,0
5087,nihundrede og fireoghalvfjerds; tohundrede og niogfyrre,0
5088,nihundrede og enogtyve; syvhundrede og treoghalvfjerds,0
5089,syvhundrede og halvtreds; syvhundrede og fireogtreds,1
5090,syvhundrede og syvoghalvfems; femhundrede og femogfirs,0
5091,ethundrede og seksoghalvfems; nihundrede og tolv,1
5092,syvhundrede og tooghalvfjerds; tohundrede og tre,0
5093,otteogtreds; nihundrede og enogfirs,1
5094,femhundrede og fem; nihundrede og syv,1
5095,ethundrede og treoghalvfems; femhundrede og seksogtredive,1
5096,syvhundrede og halvfjerds; syvoghalvfems,0
5097,sekshundrede og otteogfyrre; nihundrede og femogfirs,1
5098,syvhundrede og fireogfirs; sekshundrede og enoghalvfems,0
5099,firehundrede og nioghalvfjerds; femhundrede og syvogfirs,1
5100,tohundrede og tooghalvtreds; tretten,0
5101,trehundrede og syvoghalvtreds; femogtyve,0
5102,tyve; ottehundrede og halvtreds,1
5103,fjorten; trehundrede og syvogtreds,1
5104,tohundrede og atten; femhundrede og tolv,1
5105,femhundrede og tooghalvfjerds; syvhundrede og ni,1
5106,ottehundrede og niogfyrre; sekshundrede og et,0
5107,ethundrede og treogfyrre; nihundrede og toogtredive,1
5108,trehundrede og otteogtredive; fyrre,0
5109,femhundrede og niogfirs; syvhundrede og treoghalvtreds,1
5110,nihundrede og tredive; trehundrede og otteogtredive,0
