,nums,labels
0,cent quarante huit; cent soixante dix neuf,1
2148,huit cent vingt sept; trois cent cinquante et un,0
2149,cent cinquante trois; cent soixante neuf,1
2150,six cent dix huit; sept cent quinze,1
2151,neuf cent vingt six; quatre vingts,0
2152,cent soixante quinze; cinq cent quarante quatre,1
2153,trois cent trente neuf; sept cent quatre vingt douze,1
2154,sept cent cinquante deux; cinq cents,0
2155,deux cent trente; deux cent un,0
2156,deux; trois cent quatre vingt douze,1
2157,trois cent cinquante huit; six cent quarante cinq,1
2158,neuf cent trente huit; cinq cent onze,0
2159,sept cent neuf; neuf cent quatre vingt quinze,1
2160,trois cent soixante neuf; trois cent vingt trois,0
2161,sept cent deux; cinquante deux,0
2162,huit cent trente deux; sept cent quatre vingt dix sept,0
2163,sept cent soixante dix; huit cent quatre,1
2164,sept cent soixante treize; huit cent quarante cinq,1
2165,dix huit; sept cent soixante dix,1
2166,trois cent dix huit; quatre cent dix neuf,1
2167,cent soixante dix neuf; quatre cent trois,1
2168,cinq cent quatre vingt quinze; soixante treize,0
2169,cinq cent soixante seize; huit cent quatre vingt dix huit,1
2170,cent soixante et un; deux cent quatre vingt cinq,1
2171,trois cent quatre; huit cent quarante six,1
2172,quatre cent quarante sept; dix neuf,0
2173,huit cent quarante six; cinq cent quatre vingt sept,0
2174,quatre cent quatre vingt un; deux cent trente quatre,0
2175,quatre cent quarante huit; six cents,1
2176,trois cent quatre vingt dix huit; cent quatre vingt dix huit,0
2177,six cent quarante trois; neuf cent quatre vingt seize,1
2178,six cent cinq; deux cent soixante dix huit,0
2179,deux cent quatre vingt treize; huit cent soixante dix sept,1
2180,sept cent cinquante huit; neuf cent quatre vingt onze,1
2181,neuf cent quatre vingt trois; huit cent cinquante trois,0
2182,quatre cent cinquante huit; cinquante sept,0
2183,six cent cinquante sept; quatre cent quarante quatre,0
2184,trois cent trente quatre; huit cent vingt deux,1
2185,trois cent quatre vingt seize; sept cent vingt huit,1
2186,quinze; trente six,1
2187,quatre cent cinquante et un; cinq cent trente cinq,1
2188,deux cent quatre vingt deux; neuf cent quatre vingt cinq,1
2189,trois cent soixante seize; trois cent trois,0
2190,trois cent quatre; six cent seize,1
2191,quatre cent quarante; quatre cent soixante neuf,1
2192,six cent quarante quatre; trois cent soixante quatre,0
2193,cinq cent cinquante six; cinq cent quatre vingt trois,1
2194,cinq cent treize; deux cent soixante dix sept,0
2195,soixante neuf; cinq cent quarante et un,1
2196,sept cent dix neuf; huit cent sept,1
2197,cinq cent soixante dix sept; huit cent soixante sept,1
2198,sept cent soixante dix sept; six cent quatre vingt cinq,0
2199,six cent vingt six; neuf cent quarante,1
2200,huit cent soixante quatre; trente trois,0
2201,cent dix; neuf cent quarante et un,1
2202,six cent soixante dix sept; trois cent quarante et un,0
2203,quatre cent dix huit; quatre cent quatre vingt douze,1
2204,cinq cent quarante huit; deux cent soixante quinze,0
2205,deux cent vingt trois; quatre vingt huit,0
2206,cent quatre vingt huit; trois cent cinq,1
2207,cinq cent quarante; six cent vingt cinq,1
2208,cinq cent soixante douze; deux cent quatre vingt dix huit,0
2209,quatre cent quatre vingt neuf; sept cent soixante cinq,1
2210,sept; neuf cent quatre vingt un,1
2211,cinq cent cinq; dix sept,0
2212,neuf cent vingt sept; huit cent quatre vingt dix huit,0
2213,neuf cent cinquante neuf; quatre cent trente sept,0
2214,deux cent quatre vingt neuf; huit cent quatre vingt seize,1
2215,sept cent quatre vingt dix; cent quatre vingt onze,0
2216,trois cent quatre vingt dix sept; cinq cent quatre vingt quinze,1
2217,cinq cent quarante neuf; deux cent trois,0
2218,cent soixante et un; cinq cent quatre vingt dix,1
2219,cinq cent quarante trois; six cent vingt,1
2220,six cent cinquante; quatre cent dix sept,0
2221,huit cent quarante neuf; dix,0
2222,neuf cent trente six; dix neuf,0
2223,cinquante sept; neuf cent sept,1
2224,six cent quarante; huit cent quatre vingt cinq,1
2225,cinq cent quarante et un; six cent quatre vingt dix huit,1
2226,trois cent soixante et onze; cent quatre vingt seize,0
2227,huit cent vingt; sept cent soixante et onze,0
2228,six cent trente deux; sept,0
2229,quarante six; trente,0
2230,huit cent cinquante deux; cent soixante huit,0
2231,trois cent soixante cinq; cinq cent trente,1
2232,neuf cent trente cinq; trois cent six,0
2233,sept cent cinquante trois; cinq cent quatre vingt douze,0
2234,sept cent quatre vingt deux; six cent quatre vingt quatorze,0
2235,trois cent soixante six; six cent vingt six,1
2236,cinq cent soixante et un; quatre cent quarante et un,0
2237,deux cent quatre vingt treize; cent cinquante huit,0
2238,cinq cent soixante huit; cent trente deux,0
2239,trois cent cinquante cinq; sept cent vingt deux,1
2240,sept cent vingt trois; cinq cent quatre vingt sept,0
2241,sept cent vingt deux; huit cent huit,1
2242,cinquante deux; soixante cinq,1
2243,trois cent trente; trois cent soixante sept,1
2244,soixante dix neuf; neuf cent quatre vingt douze,1
2245,cent quatre vingt un; cinq cent six,1
2246,soixante et un; huit cent soixante quatre,1
2247,quatre cent quarante sept; neuf cent un,1
2248,cent soixante dix huit; deux cent vingt,1
2249,trois cent quatre vingt six; deux cent soixante deux,0
2250,trois cent soixante et onze; six cent vingt six,1
2251,deux cent soixante neuf; cinq cent soixante et un,1
2252,trois cent soixante et onze; sept cent soixante treize,1
2253,six cent cinquante six; quatre cent quatre vingt un,0
2254,sept cent trente six; sept cent soixante quatre,1
2255,cent quatre vingt dix; huit cent soixante quatorze,1
2256,cinq; deux cent soixante dix,1
2257,huit cent un; cent quatre vingt treize,0
2258,deux cent quarante neuf; neuf cent quatre vingt six,1
2259,sept cent soixante dix neuf; neuf cent seize,1
2260,sept cent cinquante; trois cent quarante neuf,0
2261,quatre cent quarante six; huit cent quatre vingt seize,1
2262,cent quatre vingt quatorze; quatre cent trente sept,1
2263,sept cent quarante trois; six cent vingt,0
2264,cent cinq; quatre vingt quatorze,0
2265,sept cent quatre vingt dix sept; deux cent treize,0
2266,deux cent quatre vingt treize; quatre cent vingt,1
2267,cinq cent six; deux cent quatorze,0
2268,cent quatre vingt deux; six cent soixante quatre,1
2269,six cent vingt sept; sept cent soixante treize,1
2270,sept cent soixante neuf; quatre vingt dix neuf,0
2271,trois cent neuf; sept cent quatre vingt dix sept,1
2272,sept cent sept; cent huit,0
2273,deux cent quatre vingt quinze; huit cent soixante dix huit,1
2274,trois cent douze; trois cent quatre vingt cinq,1
2275,trois cent quarante deux; sept cent quarante cinq,1
2276,deux cent quatre vingt dix sept; cent un,0
2277,sept cent quatre vingt sept; quatre cent cinquante trois,0
2278,neuf cent quarante deux; six cent cinquante trois,0
2279,deux cent soixante deux; soixante deux,0
2280,deux cent quatre vingt six; huit cent quatre vingt six,1
2281,cinq cent seize; sept cent dix huit,1
2282,quatre cent soixante treize; quatre vingt seize,0
2283,quatre cent treize; six cent cinquante deux,1
2284,trois cent soixante sept; trois cent soixante dix huit,1
2285,deux cents; quatre vingt douze,0
2286,neuf cent soixante dix sept; soixante douze,0
2287,huit cent quarante deux; deux cent cinquante,0
2288,neuf cent trente cinq; neuf cent cinq,0
2289,cinq cent dix huit; deux cent soixante trois,0
2290,trois cent neuf; deux cent vingt deux,0
2291,deux cent soixante cinq; neuf cent soixante,1
2292,neuf cent quatre vingts; cinq cents,0
2293,neuf cent quatre vingt quinze; neuf cent soixante douze,0
2294,soixante neuf; cent douze,1
2295,neuf cent quatorze; sept cent soixante quinze,0
2296,deux cent quarante huit; huit cent soixante trois,1
2297,six cent vingt huit; six cent six,0
2298,cent cinquante neuf; quarante sept,0
2299,cent quatre vingt cinq; deux cent soixante dix huit,1
2300,huit cent soixante quatre; deux cent quarante quatre,0
2301,trois cent cinquante deux; quatre cent trente six,1
2302,trois cent onze; six cent quarante quatre,1
2303,six cent quatre vingt deux; trois cent quatre vingt treize,0
2304,neuf cent quarante six; deux cent cinquante trois,0
2305,soixante cinq; trois cent trente six,1
2306,quatre cent soixante et un; treize,0
2307,cinq cent trente huit; neuf cent cinquante,1
2308,quatre cent vingt trois; neuf cent trois,1
2309,trois cent cinquante et un; sept cent quatre vingt dix huit,1
2310,trois cent quarante trois; quatre cent soixante,1
2311,cinq cent soixante treize; huit cent cinq,1
2312,cent quarante; cinq cents,1
2313,sept cent trente six; quarante huit,0
2314,huit cent quatre vingt onze; neuf cent soixante dix neuf,1
2315,deux cent soixante seize; cinq cent trente six,1
2316,huit cent quinze; trente,0
2317,six cent douze; quatre cent quarante trois,0
2318,neuf cent soixante deux; neuf cent six,0
2319,deux cent soixante et onze; sept cent soixante dix sept,1
2320,neuf cent dix; cent quarante trois,0
2321,quarante et un; neuf cent trente quatre,1
2322,trois cent soixante neuf; deux cent quatre vingts,0
2323,trois cent soixante; cinq cent quarante neuf,1
2324,sept cent quatre vingt trois; trois cent trois,0
2325,trois cent sept; huit cent quatre vingt cinq,1
2326,huit cent dix neuf; cinq cent seize,0
2327,cent soixante treize; quatre cent quatre vingt quinze,1
2328,neuf cent quarante et un; cent quatre vingts,0
2329,deux cent quatre vingt onze; sept cent vingt trois,1
2330,sept cent soixante trois; six cent soixante quinze,0
2331,huit cent vingt sept; deux cent quarante deux,0
2332,quatre cent quarante quatre; deux cent quarante deux,0
2333,quatre cent cinquante six; neuf cent soixante trois,1
2334,neuf cent quinze; six cent soixante six,0
2335,cent quarante cinq; sept cent quatre vingt dix,1
2336,cinq cent soixante neuf; deux cent quarante deux,0
2337,six cent cinquante quatre; quatre cent soixante dix huit,0
2338,mille; trois cent vingt,0
2339,neuf cent trente six; soixante dix neuf,0
2340,neuf cent quatre vingt dix sept; quatre cent quatre vingt dix neuf,0
2341,sept cent soixante; cinq cent quatre vingt six,0
2342,cinq cent quarante deux; deux cent quatre vingt huit,0
2343,trois cent cinquante deux; neuf cent vingt six,1
2344,quatre vingt quatorze; trois cent soixante dix,1
2345,deux cent quatre vingt neuf; huit cent quatre vingt dix neuf,1
2346,cinq cent trois; trois cent vingt deux,0
2347,quatre cent vingt huit; six cent trente cinq,1
2348,cinquante huit; cent soixante six,1
2349,quatre cent deux; six cent trente neuf,1
2350,neuf cent cinquante; huit cent cinquante neuf,0
2351,cent soixante sept; six cent trois,1
2352,sept cent quatre vingt dix huit; deux cent vingt deux,0
2353,sept cent soixante dix sept; sept cent trente et un,0
2354,quatre vingt quatorze; quatre vingt quatre,0
2355,cent soixante dix neuf; cent soixante huit,0
2356,deux cent cinquante et un; huit cent dix neuf,1
2357,trois cent quarante quatre; trente six,0
2358,sept cent soixante seize; trois cent vingt cinq,0
2359,vingt trois; soixante six,1
2360,deux cent quatre vingts; quarante cinq,0
2361,six cent quatre vingt douze; neuf cent vingt deux,1
2362,neuf cent cinq; neuf cent vingt trois,1
2363,neuf cent cinquante deux; trois cent quarante trois,0
2364,six cent vingt; quatre cent quatre vingt dix neuf,0
2365,neuf cent quatre vingt seize; quatre cent soixante six,0
2366,sept cent quatre vingt treize; six cent dix neuf,0
2367,quatre cent cinquante; trois cent quatre vingt huit,0
2368,six cent quatre vingt neuf; trois cent dix neuf,0
2369,sept cent cinquante sept; cent quarante deux,0
2370,trois cent cinquante six; huit cent trente,1
2371,huit cent vingt quatre; cinq cent quarante huit,0
2372,quatre cent quatre vingt cinq; trois cent douze,0
2373,quatre vingt trois; deux cent quatre vingt sept,1
2374,cinq cent cinquante et un; sept cent quarante trois,1
2375,quatre cent trente neuf; neuf cent neuf,1
2376,soixante dix; huit cent quatre vingt dix,1
2377,trente sept; deux cent vingt,1
2378,sept cent vingt trois; neuf cent soixante et un,1
2379,cinq cent trente quatre; trois cent cinquante et un,0
2380,quatre cent quarante six; cinq cent quatre vingt quatorze,1
2381,neuf cent quatre vingt treize; neuf cent cinquante six,0
2382,six cent trente huit; deux cent quarante sept,0
2383,cinq cent vingt et un; cinq cent trois,0
2384,six cent quatre vingt seize; huit cent cinquante quatre,1
2385,cinq cent quarante et un; deux cent neuf,0
2386,cent cinquante trois; huit cent quatre vingts,1
2387,neuf cent vingt neuf; huit cent quarante quatre,0
2388,sept cent cinq; six cent six,0
2389,six cent vingt trois; quatre vingt dix,0
2390,huit cent cinquante cinq; neuf cent soixante et un,1
2391,sept cent quatre vingt sept; neuf cent cinquante deux,1
2392,neuf cent cinquante deux; quatre cent quatre vingt huit,0
2393,six cent quarante; cinq cent quarante cinq,0
2394,six cent soixante dix; neuf cent cinquante huit,1
2395,trois cent quatre vingt seize; cent quatre vingt seize,0
2396,deux cent cinquante; cinq cent quarante deux,1
2397,six cent vingt six; cent quatre vingt cinq,0
2398,deux cent vingt huit; quarante et un,0
2399,huit cent trente cinq; trois cent cinquante,0
2400,sept cent cinquante cinq; huit cent quatre vingt sept,1
2401,quatre cent trente sept; cent soixante seize,0
2402,sept cent quatre vingt dix neuf; deux cent soixante quinze,0
2403,trois cent vingt et un; cinq cent trois,1
2404,trois cent soixante huit; cent soixante sept,0
2405,trois cent vingt huit; deux cent quinze,0
2406,huit cent quarante deux; quatre cent soixante huit,0
2407,deux cent trente sept; huit cent cinquante deux,1
2408,quatre cent soixante dix; quatre cent soixante neuf,0
2409,soixante deux; cinquante et un,0
2410,cent quatre vingt onze; quatre cent quatorze,1
2411,trois cent vingt neuf; cinq cent quatre vingt huit,1
2412,cent soixante douze; sept cent soixante sept,1
2413,trois cent trente deux; quatre cent quatre,1
2414,neuf cent trois; huit cent quatre vingt sept,0
2415,cinq cent quatre vingts; quarante et un,0
2416,huit cent soixante cinq; cent quatre vingt deux,0
2417,cent quarante trois; neuf cent neuf,1
2418,huit cent trente trois; trente quatre,0
2419,neuf cent quatorze; huit cent vingt huit,0
2420,cent quatre vingt quinze; six cent quarante cinq,1
2421,sept cent soixante dix sept; six cent onze,0
2422,quatre cent quatorze; neuf cent soixante six,1
2423,huit cent quarante cinq; cinq cent quatre vingt seize,0
2424,huit cent cinquante; neuf cent quarante sept,1
2425,cent soixante quatre; trois cent quatre vingt onze,1
2426,neuf cent trente six; dix sept,0
2427,huit cent vingt neuf; sept cent dix,0
2428,huit cent quatre vingt dix; cent quarante trois,0
2429,deux cent soixante quatre; quatre cent trente quatre,1
2430,six cent douze; cinq cent cinquante cinq,0
2431,vingt trois; deux cent six,1
2432,quatre vingt treize; cinq cent soixante quinze,1
2433,neuf cent soixante quinze; quatre cent quatre vingt quinze,0
2434,cent six; neuf cent quatre vingt quatorze,1
2435,quatre cent quatre vingt treize; cinq cent cinquante deux,1
2436,sept cent soixante; trois cent dix,0
2437,cinq; deux cent soixante douze,1
2438,trois cent dix neuf; six cent quarante huit,1
2439,deux cent quinze; sept cent vingt neuf,1
2440,huit cent quatre vingt dix; deux cent soixante quatorze,0
2441,deux cent soixante sept; cinq cent soixante huit,1
2442,cent soixante et onze; six cent neuf,1
2443,huit cent quarante huit; quatre cent cinquante huit,0
2444,huit cent soixante quinze; quatre vingt huit,0
2445,quatre cent dix neuf; trois cent vingt cinq,0
2446,cent trente cinq; cinq cents,1
2447,cent quatre vingt quatorze; cinq cent soixante neuf,1
2448,neuf cent quatre vingt dix huit; quatre cent quatre vingt douze,0
2449,six cent soixante trois; cent vingt trois,0
2450,huit cent quatre vingt douze; six cent quatre vingt onze,0
2451,neuf cent trente; cinq cent soixante quatorze,0
2452,trois cent trente neuf; deux cent soixante treize,0
2453,huit cent cinq; deux cent soixante deux,0
2454,six cent onze; cinq cent quarante huit,0
2455,trois cent quatre vingt un; neuf cent dix sept,1
2456,quatre cent quatre vingt sept; deux cent trente,0
2457,sept cent quatre vingt un; cent cinquante quatre,0
2458,cinq cent quatre vingt trois; cent trente six,0
2459,neuf cent soixante treize; deux cent soixante dix sept,0
2460,cinq cent quatre vingt dix neuf; neuf cent douze,1
2461,huit cent quatre vingt seize; cent onze,0
2462,sept cent seize; deux cent quarante neuf,0
2463,deux cent soixante et onze; soixante quatorze,0
2464,sept cent quatre vingt onze; quatre cent soixante quatre,0
2465,cinq cent vingt; huit cent quatre vingt quatorze,1
2466,trois cent deux; huit cent soixante dix,1
2467,cinq cent vingt cinq; neuf cent soixante treize,1
2468,soixante dix huit; cinq cent dix neuf,1
2469,quatre cent cinquante deux; cinq cent quarante neuf,1
2470,cinq cent soixante et un; sept cent soixante,1
2471,sept cent quatre; cent dix neuf,0
2472,trois cent quatre; cent soixante seize,0
2473,quatre cent vingt huit; trois cent quatre vingt seize,0
2474,deux cent quarante; neuf cent deux,1
2475,quatre vingt quinze; quatre cent vingt cinq,1
2476,quatre vingt dix neuf; cinq cent cinquante huit,1
2477,cinq cent vingt cinq; quatre cent soixante douze,0
2478,neuf cent douze; deux cent quatre vingt neuf,0
2479,neuf cent vingt trois; trois cent quinze,0
2480,cinquante huit; cent quatre vingt cinq,1
2481,neuf cent quarante trois; deux cent quarante trois,0
2482,neuf cent quarante huit; neuf cent treize,0
2483,cent quatorze; quarante,0
2484,cinq cent quatre vingt dix sept; neuf cent quarante cinq,1
2485,cinq cent soixante dix; six cent soixante neuf,1
2486,cinq cent soixante deux; deux cent cinquante neuf,0
2487,cent quatre vingt huit; cent soixante cinq,0
2488,cinq cent soixante neuf; cent quarante sept,0
2489,huit cent soixante dix; trois cent trente six,0
2490,cent cinquante six; cent soixante neuf,1
2491,quatre cent quatre vingt huit; cent soixante treize,0
2492,trois cent neuf; trois cent quatre vingt quinze,1
2493,cinq cent cinquante trois; trente six,0
2494,trois cent cinquante huit; neuf cent soixante et un,1
2495,huit cent soixante et un; vingt six,0
2496,cent quatre vingt deux; quatre cent quatre,1
2497,deux cent quatre vingt quinze; huit cent quarante cinq,1
2498,neuf cent dix; six cent quatre vingt huit,0
2499,huit cent cinquante cinq; quatre cent soixante dix sept,0
2500,vingt sept; quatre cent trois,1
2501,cent trente six; huit cent soixante trois,1
2502,huit cent trente quatre; deux cent quatre vingt un,0
2503,deux cent dix; cinquante deux,0
2504,quatre cent soixante cinq; huit cent quatre vingt treize,1
2505,six cent trois; six cent quatre vingt neuf,1
2506,deux cent soixante huit; deux cent quarante trois,0
2507,cent onze; huit cent quatre vingt six,1
2508,neuf cent vingt huit; sept cent cinquante,0
2509,cinq cent quarante quatre; cent cinq,0
2510,quatre cent cinquante six; sept cent cinquante quatre,1
2511,huit cent soixante sept; sept cent deux,0
2512,cent soixante huit; trois cent vingt huit,1
2513,cent soixante trois; cent quatre vingt onze,1
2514,sept cent soixante dix neuf; quatre cent cinquante deux,0
2515,soixante treize; huit cent quarante quatre,1
2516,sept cent soixante; six cent soixante dix sept,0
2517,six cent quarante six; cinq cent quarante,0
2518,cent trente huit; cinq cent trente trois,1
2519,six cent soixante dix huit; soixante,0
2520,cinq cent dix sept; six cent vingt cinq,1
2521,cinq cent sept; cinq cent cinquante huit,1
2522,deux cent trente sept; vingt neuf,0
2523,quatre cent soixante dix; neuf cent quarante,1
2524,sept cent vingt sept; six cent sept,0
2525,six cent treize; deux cent quatre vingt quatre,0
2526,trois cent vingt; dix huit,0
2527,huit cent soixante treize; huit cent dix sept,0
2528,cinq cent cinquante six; huit cent soixante douze,1
2529,quatre cent trois; trois cent neuf,0
2530,trente cinq; neuf cent quarante et un,1
2531,quatre cent vingt sept; six cent quarante deux,1
2532,trois cent cinquante et un; soixante dix neuf,0
2533,huit cent quatre; quatre cent quatre vingt sept,0
2534,sept cent neuf; cinq cent vingt quatre,0
2535,deux cent cinquante quatre; sept cent quatre vingt dix neuf,1
2536,trois cent soixante et un; cinq cent quarante trois,1
2537,sept cent quatre vingt huit; cent cinquante neuf,0
2538,trente cinq; quatre cent cinquante huit,1
2539,sept cent quatre vingt treize; trois cent cinquante deux,0
2540,cinq cent quatre vingt treize; huit cent vingt quatre,1
2541,huit cent quarante trois; six cent soixante neuf,0
2542,cent quatre vingt dix sept; six cent quatre vingt seize,1
2543,sept cent cinquante huit; deux cent deux,0
2544,neuf cent quatre vingt cinq; trois cent soixante dix neuf,0
2545,deux cent quatre vingts; sept cent douze,1
2546,cinq cent soixante dix neuf; quinze,0
2547,cent cinq; six cent soixante huit,1
2548,cinq cent cinquante neuf; deux cent dix huit,0
2549,cent quatorze; sept cent cinquante et un,1
2550,vingt cinq; neuf cent quatre vingt dix neuf,1
2551,neuf cent cinquante neuf; neuf cent six,0
2552,deux cent cinquante deux; soixante neuf,0
2553,six cent cinquante huit; quatre cent soixante trois,0
2554,cinq cent soixante neuf; deux cent onze,0
2555,cent trente neuf; cinq cent six,1
2556,deux cent quarante quatre; quatre cent quatre vingt un,1
2557,quatre vingt quatre; cent quatre vingt neuf,1
2558,deux cent cinquante quatre; deux cent soixante quinze,1
2559,deux cent soixante quatorze; cent quatre vingt deux,0
2560,cinq cent quinze; cinquante cinq,0
2561,neuf cent soixante neuf; cinq cent soixante seize,0
2562,huit cent quatre vingt neuf; cent quatre vingt dix,0
2563,cinq cent quatre vingts; deux cent cinquante six,0
2564,trois cent quarante sept; deux cent quatre vingt dix,0
2565,cent quatre vingt trois; trois cents,1
2566,quatre cent soixante dix sept; huit cent soixante six,1
2567,neuf cent cinquante deux; neuf cents,0
2568,six cent vingt; quatre cent sept,0
2569,quatre cent un; huit cent trente et un,1
2570,six cent quatre; neuf cent quinze,1
2571,quatre cent trente cinq; quarante deux,0
2572,deux cent quatre vingt six; quatre cent soixante cinq,1
2573,trente quatre; deux cent quarante cinq,1
2574,neuf cent quatre vingt neuf; sept cent quatre,0
2575,huit cent cinquante quatre; cinq cent sept,0
2576,cinq cent quarante deux; deux cent trente deux,0
2577,trois cent douze; quatre cent soixante neuf,1
2578,six cent dix sept; sept cent soixante six,1
2579,cinq cent quarante deux; deux cent trente huit,0
2580,neuf cent vingt et un; cinq cent un,0
2581,huit cent cinquante; six cent vingt six,0
2582,cinq cent cinq; quatre cent dix neuf,0
2583,neuf cent dix huit; trois cent quatorze,0
2584,neuf cent quatre vingt un; neuf cent cinquante et un,0
2585,six cent soixante dix neuf; neuf cent soixante cinq,1
2586,deux cent quatre vingt douze; neuf cent quarante quatre,1
2587,trois cent cinquante six; neuf cent trente sept,1
2588,soixante et un; sept cent dix sept,1
2589,neuf cent vingt huit; cinq cents,0
2590,neuf cent trente quatre; trois cent dix huit,0
2591,sept cent quarante cinq; deux cent cinquante,0
2592,deux cent cinquante huit; neuf cent quatre vingt dix,1
2593,trois cent quatre vingt sept; huit cent soixante six,1
2594,quatre vingt neuf; huit cent soixante treize,1
2595,neuf cent vingt huit; quatre cent trente six,0
2596,sept cent vingt et un; quatre cent cinquante sept,0
2597,seize; neuf,0
2598,soixante treize; sept cent quatre vingt trois,1
2599,quatre cent dix neuf; six cent cinquante neuf,1
2600,trois cent cinquante deux; cent soixante dix huit,0
2601,six cent soixante dix neuf; cent cinquante six,0
2602,huit cent quatre vingt deux; cent soixante et onze,0
2603,trois cent dix sept; trois cent quatre vingt dix huit,1
2604,huit cent quatre vingt trois; quatre cent trente cinq,0
2605,trois; huit cent quarante quatre,1
2606,trois cent quatre vingt un; cent vingt neuf,0
2607,six cent soixante cinq; sept cent vingt et un,1
2608,huit cent vingt neuf; cinq cent trente quatre,0
2609,six cent cinquante cinq; quatre vingt un,0
2610,huit cent soixante douze; sept cent cinquante huit,0
2611,trois cent soixante seize; six cent vingt sept,1
2612,quatre cent deux; neuf cent quatre vingt quinze,1
2613,deux cent seize; six cent quatre vingt quatre,1
2614,six cent quarante deux; trois cent quatre vingt dix neuf,0
2615,six cent soixante six; six cent quinze,0
2616,deux cent quarante quatre; cinq cent vingt,1
2617,neuf cents; cinq cent douze,0
2618,quatre cent soixante six; quatre cent dix huit,0
2619,deux cent soixante neuf; soixante neuf,0
2620,trois cent soixante douze; deux cent cinquante six,0
2621,neuf cent quarante neuf; six cent soixante dix neuf,0
2622,trois cent cinquante neuf; six cent vingt huit,1
2623,quatre cent trente; cinq cent quatre vingt douze,1
2624,quatre vingt quinze; quatre cent quatre vingt un,1
2625,deux cent quatorze; deux cent quatre vingt huit,1
2626,deux cent trente neuf; deux cent vingt et un,0
2627,neuf cent vingt deux; huit cent seize,0
2628,sept cent onze; cinq cent soixante dix neuf,0
2629,quatre cent cinquante et un; quatre vingts,0
2630,six cent quatre vingt quatorze; neuf cent vingt et un,1
2631,trois cent soixante cinq; huit cent vingt sept,1
2632,sept cent trente trois; neuf cent sept,1
2633,cinq cent vingt cinq; sept cent quatre vingt sept,1
2634,vingt; cent huit,1
2635,neuf cent quatre vingt douze; cinq cent soixante huit,0
2636,trois cent quatre vingt seize; dix sept,0
2637,sept cent trente cinq; six cent quatre vingt neuf,0
2638,six cent trente deux; cinq cent soixante quatorze,0
2639,trois cent cinq; huit cent cinquante et un,1
2640,sept cent soixante cinq; cent quatorze,0
2641,deux cent soixante quinze; trente cinq,0
2642,deux; quatre cent quatre,1
2643,cinquante deux; cent soixante dix huit,1
2644,sept cent soixante et un; huit cent soixante et onze,1
2645,sept cents; quatre cent trente trois,0
2646,neuf cent vingt six; sept cent cinq,0
2647,sept cent quatre vingt six; sept cent quarante trois,0
2648,deux cent quarante sept; cinq cent quatre vingt onze,1
2649,neuf cent trente quatre; deux cent trois,0
2650,sept cent quarante six; quatre cent vingt neuf,0
2651,neuf cent soixante dix; cent quinze,0
2652,cent quatre vingt cinq; quatre cent soixante six,1
2653,sept cent quatre vingt treize; cent vingt,0
2654,deux cent quarante et un; cinquante six,0
2655,quinze; sept cent quarante quatre,1
2656,cent quatorze; cent quatre vingt dix huit,1
2657,six cent dix; cinq cent quatre vingt six,0
2658,sept cent trente quatre; quatre vingt six,0
2659,quatre cent trente deux; huit cent vingt neuf,1
2660,quarante six; cent soixante huit,1
2661,neuf cent quatre vingt douze; sept cent cinquante et un,0
2662,quatre cent neuf; cinq cent quarante cinq,1
2663,quatre cent quatorze; quatre cent trente deux,1
2664,neuf cent cinquante trois; quatre cent quatre vingt huit,0
2665,neuf cent trente quatre; cinquante deux,0
2666,deux cent quatre vingt treize; huit cent soixante et un,1
2667,huit cent quatre vingt dix sept; deux cent quatre vingt six,0
2668,cent quatre vingts; trois cent soixante quatre,1
2669,soixante cinq; deux cent vingt huit,1
2670,quatre cent quatre vingts; huit cent huit,1
2671,quatre cent quatre vingt sept; six cent quatre vingt dix neuf,1
2672,cent soixante deux; six cent trente,1
2673,six cent soixante six; sept cent quatre vingt un,1
2674,deux cent vingt six; douze,0
2675,cinq cent quatre vingt quatorze; soixante dix neuf,0
2676,cent soixante dix; six cent cinq,1
2677,quatre cent cinquante quatre; trois cent quarante et un,0
2678,sept cent cinquante neuf; huit cent trente six,1
2679,trente; huit cent trente sept,1
2680,six cent sept; quatre cent quatre vingt onze,0
2681,huit cent quatre vingt dix huit; cent soixante sept,0
2682,six cent trente sept; sept cent quatre vingt neuf,1
2683,deux cent treize; quatre cent quarante quatre,1
2684,cent quatre vingt dix; cent soixante deux,0
2685,huit cent cinquante trois; cent vingt et un,0
2686,sept cent cinquante cinq; quatre cent quatre vingt cinq,0
2687,neuf cent cinquante et un; cent quinze,0
2688,huit cent cinquante et un; cent vingt,0
2689,sept cent soixante dix; six cent quarante et un,0
2690,quatre cent quatre vingt cinq; quarante,0
2691,huit cent douze; six cent vingt six,0
2692,trois cent soixante dix huit; cinq cent trente cinq,1
2693,quatre cent soixante deux; huit cent six,1
2694,trois cents; six cent quatre vingt quatorze,1
2695,trois cent quatre vingt deux; deux cent trente,0
2696,trois cent quatre vingt trois; cinquante cinq,0
2697,cinquante huit; cent soixante dix,1
2698,douze; cinq cent trente,1
2699,cinq cent vingt quatre; sept cents,1
2700,trois cent vingt sept; quatre vingt huit,0
2701,soixante deux; neuf cent cinquante et un,1
2702,huit cent neuf; quatre cent un,0
2703,huit cent quatre vingt dix huit; neuf cent quatre vingt quatre,1
2704,cent vingt sept; cinq cent trente cinq,1
2705,huit cent soixante six; trois cent quarante quatre,0
2706,deux cent quatre vingt cinq; cent soixante sept,0
