,sents,labels
0,firs; femhundrede og nioghalvfems,1
8686,enogtredive; firehundrede og ti,1
8687,tohundrede og syv; nihundrede og treoghalvfjerds,1
8688,femhundrede og niogtreds; syvhundrede og syvogtyve,1
8689,tohundrede og niogtredive; syvhundrede og niogtreds,1
8690,niogtyve; trehundrede og et,1
8691,syvhundrede og nioghalvfjerds; syvhundrede og enogfirs,1
8692,sekshundrede og syvogtyve; firehundrede og femoghalvfjerds,0
8693,ottehundrede og tredive; ottehundrede og fem,0
8694,ottehundrede og seksogtredive; firehundrede og niogtredive,0
8695,sekshundrede og fireoghalvfjerds; femhundrede og ni,0
8696,trehundrede og syvogtredive; femhundrede og otte,1
8697,sekshundrede og syvogfyrre; sekshundrede og enogfirs,1
8698,ottehundrede og seksoghalvfjerds; ethundrede og niogtyve,0
8699,tooghalvfems; ethundrede og seksoghalvfjerds,1
8700,femhundrede og enoghalvtreds; femhundrede og niogfirs,1
8701,femhundrede og femoghalvfems; femhundrede og femogtyve,0
8702,ottehundrede og atten; trehundrede og fire,0
8703,ottehundrede og treoghalvtreds; trehundrede og fireogtyve,0
8704,trehundrede og seksogfirs; nihundrede og femogfyrre,1
8705,ottehundrede og fireogtredive; ottehundrede og enogfirs,1
8706,sekshundrede og syvogfyrre; femoghalvfjerds,0
8707,trehundrede og otteoghalvfjerds; ottehundrede og fireoghalvfjerds,1
8708,nihundrede og nioghalvfems; toogtreds,0
8709,syvhundrede og syvogtyve; tohundrede og enoghalvfems,0
8710,femhundrede og fyrre; femhundrede og tyve,0
8711,trehundrede og nioghalvfjerds; ethundrede og tooghalvfems,0
8712,seksogfyrre; toogtredive,0
8713,firehundrede og ni; syvhundrede og niogtyve,1
8714,firehundrede og otte; nihundrede og tooghalvtreds,1
8715,femhundrede og otteoghalvfjerds; ottehundrede og toogfirs,1
8716,sekshundrede og enoghalvfjerds; tohundrede og otteogtyve,0
8717,enogtreds; syvhundrede og enogtreds,1
8718,ethundrede og syvogfirs; syvhundrede og enogtreds,1
8719,sekshundrede og niogtredive; ottehundrede og sytten,1
8720,trehundrede og enoghalvfems; tohundrede og femoghalvfjerds,0
8721,sekshundrede og syvogtyve; firehundrede og sytten,0
8722,trehundrede og enoghalvfjerds; ottehundrede og niogfirs,1
8723,sekshundrede og seksten; sekshundrede og fireogtreds,1
8724,sekshundrede og seksoghalvfems; femhundrede og syvogtreds,0
8725,tohundrede og ti; treogfirs,0
8726,syvhundrede og ti; sekshundrede og atten,0
8727,firehundrede og femogtredive; tohundrede og fire,0
8728,ethundrede og enogtreds; trehundrede og tooghalvfems,1
8729,trehundrede og seksoghalvtreds; syvhundrede og syvogtreds,1
8730,otteogtredive; trehundrede og enogfirs,1
8731,trehundrede og syvogfyrre; syvhundrede og otteoghalvfjerds,1
8732,tohundrede og nioghalvtreds; nihundrede og seksogfyrre,1
8733,femhundrede og to; syvhundrede og seksogfirs,1
8734,ethundrede og treds; trehundrede og fireoghalvtreds,1
8735,sekshundrede og ti; ottehundrede og enogfyrre,1
8736,firehundrede og treoghalvtreds; nihundrede og seksoghalvtreds,1
8737,ottehundrede; trehundrede og treds,0
8738,firehundrede og otteogtredive; ethundrede og otteogtredive,0
8739,femhundrede og ni; firehundrede og femogtreds,0
8740,ethundrede og seks; ottehundrede og toogfyrre,1
8741,ethundrede og niogtredive; ottehundrede og otte,1
8742,ethundrede og elleve; syvhundrede og seksogtredive,1
8743,firehundrede og otteogtredive; enoghalvtreds,0
8744,nihundrede og seks; tohundrede og treogtredive,0
8745,trehundrede og nitten; syvhundrede og seksoghalvfjerds,1
8746,ethundrede og to; femhundrede og femoghalvfjerds,1
8747,ethundrede og fireoghalvfems; trehundrede og toogtyve,1
8748,ethundrede og syvogtyve; syvhundrede og tyve,1
8749,syvhundrede og otte; nihundrede og seksten,1
8750,ethundrede og tre; firehundrede og tooghalvfems,1
8751,sekshundrede og enogfirs; tohundrede og seks,0
8752,nihundrede og atten; firehundrede og ni,0
8753,trehundrede og enogtyve; ottehundrede og fyrre,1
8754,firehundrede og treogtyve; nihundrede og otteogfirs,1
8755,trehundrede og enogtyve; ethundrede og otteogfirs,0
8756,trehundrede og tretten; syvhundrede og femogfyrre,1
8757,ethundrede og syvogtreds; sekshundrede og seksoghalvfjerds,1
8758,firehundrede og seksoghalvtreds; femhundrede og otteogfirs,1
8759,trehundrede og enogtreds; tohundrede og enoghalvfjerds,0
8760,ethundrede og niogfirs; trehundrede og niogfyrre,1
8761,firehundrede og treogtyve; trehundrede og elleve,0
8762,ethundrede og treoghalvfjerds; ethundrede og syvogtyve,0
8763,ottehundrede og fireogtreds; seksogfyrre,0
8764,trehundrede og seksten; firehundrede og enogfirs,1
8765,trehundrede og enogtyve; tohundrede og tooghalvtreds,0
8766,tohundrede og otteogtredive; tohundrede og nitten,0
8767,firehundrede og fyrre; halvfjerds,0
8768,firehundrede og halvfems; syvhundrede og femogfirs,1
8769,trehundrede og enoghalvtreds; trehundrede og enoghalvfems,1
8770,tohundrede og femogtreds; nihundrede og halvfjerds,1
8771,syvhundrede og niogtyve; tohundrede og femoghalvtreds,0
8772,ottehundrede og otteogtreds; syvhundrede og otteogtyve,0
8773,sekshundrede og seksogfirs; sekshundrede og ni,0
8774,sekshundrede og enoghalvtreds; trehundrede og enoghalvtreds,0
8775,ottehundrede og treogtreds; tohundrede og treogfyrre,0
8776,firehundrede og enogfirs; nihundrede og tooghalvfjerds,1
8777,sekshundrede og atten; tohundrede og toogtreds,0
8778,femhundrede og niogfirs; otteoghalvfems,0
8779,ottehundrede og niogtyve; tohundrede og femoghalvfjerds,0
8780,halvfjerds; trehundrede og seksoghalvfjerds,1
8781,sekshundrede og treogfirs; ethundrede og fireoghalvfems,0
8782,femhundrede og tre; sekshundrede og seksogtredive,1
8783,syvhundrede og enogfyrre; trehundrede og tolv,0
8784,firehundrede og toogtredive; ethundrede og niogfyrre,0
8785,firehundrede og fireoghalvfjerds; ethundrede og femogfirs,0
8786,femhundrede og treoghalvfjerds; tohundrede og fireogtreds,0
8787,toogfirs; trehundrede og toogtredive,1
8788,ottehundrede og otteogtredive; ottehundrede og femogtyve,0
8789,femten; ottehundrede og to,1
8790,sekshundrede og otteogfyrre; ottehundrede og toogfirs,1
8791,nihundrede og syvogtreds; trehundrede og otte,0
8792,trehundrede og fireoghalvtreds; tohundrede og halvfjerds,0
8793,tohundrede og halvfjerds; trehundrede og et,1
8794,trehundrede og otte; firehundrede og enogtyve,1
8795,ottehundrede og enogfirs; tohundrede og syv,0
8796,trehundrede og et; nihundrede og seksogtyve,1
8797,nihundrede og treoghalvtreds; syvhundrede og halvtreds,0
8798,trehundrede og fem; sekshundrede og femogtredive,1
8799,ottehundrede og enogfirs; femhundrede og fjorten,0
8800,femhundrede og fireoghalvfems; syvogfirs,0
8801,syvhundrede og seksten; sekshundrede og seksten,0
8802,sekshundrede og femogfyrre; nihundrede og fjorten,1
8803,firehundrede og nioghalvtreds; tohundrede og femoghalvfjerds,0
8804,sekshundrede og seksoghalvfjerds; trehundrede og treoghalvtreds,0
8805,tohundrede og treds; nihundrede og fjorten,1
8806,ottehundrede og tooghalvtreds; nihundrede og femoghalvtreds,1
8807,syvogtreds; nihundrede og syvoghalvtreds,1
8808,ethundrede og enogtyve; ethundrede og firs,1
8809,nihundrede og treogtyve; sekshundrede og seksoghalvfems,0
8810,trehundrede og treogfirs; sekshundrede og fireogfirs,1
8811,trehundrede og treoghalvfjerds; tohundrede og fjorten,0
8812,sekshundrede og femoghalvfjerds; femhundrede og otte,0
8813,seksogfirs; trehundrede og seksoghalvfjerds,1
8814,femhundrede og otteogfyrre; trehundrede og tooghalvfems,0
8815,ethundrede og treoghalvfjerds; syvhundrede,1
8816,firehundrede og femogfyrre; syvhundrede og syv,1
8817,trehundrede og treogfyrre; firehundrede og femogtredive,1
8818,firehundrede og otteoghalvfems; femhundrede og syvoghalvfjerds,1
8819,syvhundrede og toogtredive; sekshundrede og otte,0
8820,tooghalvfems; trehundrede og otteoghalvfems,1
8821,firehundrede og femogtredive; trehundrede og otteoghalvfems,0
8822,trehundrede og femogfyrre; trehundrede og et,0
8823,firehundrede og tooghalvfjerds; firehundrede og seksoghalvfjerds,1
8824,sekshundrede og seks; ottehundrede og syvogfirs,1
8825,seksoghalvfjerds; syvoghalvfjerds,1
8826,ethundrede og niogfirs; nihundrede og enogtreds,1
8827,ottehundrede og enogfyrre; ethundrede og treoghalvtreds,0
8828,tohundrede og fireogfyrre; trehundrede og enogtyve,1
8829,nihundrede og tooghalvfems; sytten,0
8830,ethundrede og tre; syvhundrede og enoghalvfjerds,1
8831,ottehundrede og femogtyve; ethundrede og femoghalvtreds,0
8832,syvhundrede og halvfems; enogfirs,0
8833,syvhundrede og nitten; nihundrede og ni,1
8834,syvhundrede og toogtredive; otteogtreds,0
8835,ethundrede og treoghalvfems; treoghalvfjerds,0
8836,syvhundrede og femogfirs; nihundrede og otteogfirs,1
8837,sekshundrede og halvfems; femhundrede og et,0
8838,tooghalvfems; trehundrede og fireogtreds,1
8839,trehundrede og halvfjerds; tohundrede og tooghalvfjerds,0
8840,nihundrede og fireogfyrre; femhundrede og fireoghalvfjerds,0
8841,tohundrede og femoghalvtreds; sekshundrede og seksogtyve,1
8842,ottehundrede og seksoghalvfjerds; ottehundrede og femoghalvtreds,0
8843,tohundrede og syv; femogfirs,0
8844,firehundrede; trehundrede og fireoghalvtreds,0
8845,ottehundrede og fjorten; ottehundrede og seks,0
8846,ottehundrede og femogtredive; treoghalvfems,0
8847,syvhundrede og treoghalvtreds; trehundrede og niogtyve,0
8848,nihundrede og toogtyve; sekshundrede og femogfyrre,0
8849,trehundrede og seksoghalvtreds; firehundrede og niogtredive,1
8850,trehundrede og fjorten; ethundrede og nioghalvfems,0
8851,firehundrede og firs; syvhundrede og otte,1
8852,tohundrede og femogfirs; ethundrede og treogtyve,0
8853,femhundrede og niogtredive; syvhundrede og syvoghalvfems,1
8854,syvhundrede og nioghalvfjerds; syvhundrede og syvoghalvtreds,0
8855,nihundrede og atten; femhundrede og treoghalvfems,0
8856,firehundrede og halvfjerds; tohundrede og syvoghalvfems,0
8857,sekshundrede og femoghalvfjerds; tohundrede og treds,0
8858,firehundrede og otteoghalvfjerds; tohundrede og syvogtreds,0
8859,femhundrede og seksoghalvtreds; femhundrede og treoghalvtreds,0
8860,nihundrede og fire; ethundrede og otte,0
8861,femhundrede og fireoghalvfems; tooghalvfems,0
8862,tohundrede og nitten; firs,0
8863,ottehundrede og sytten; trehundrede og nioghalvfems,0
8864,fem; enogtredive,1
8865,syvhundrede og fireoghalvfjerds; tohundrede og niogtredive,0
8866,ethundrede og seksogfirs; tohundrede og seksogtyve,1
8867,ottehundrede og fireogtyve; firehundrede og treogtyve,0
8868,femhundrede og enogfirs; firehundrede og tretten,0
8869,enoghalvfems; trehundrede og seksoghalvfjerds,1
8870,trehundrede og tooghalvfems; femhundrede og otteogfyrre,1
8871,ottehundrede og syv; tohundrede og niogtyve,0
8872,ethundrede og toogfirs; femhundrede og tolv,1
8873,fireogtredive; firehundrede og enogfirs,1
8874,tohundrede og treogtreds; ethundrede og femogfirs,0
8875,tohundrede og fireogfyrre; trehundrede og seksoghalvfems,1
8876,sekshundrede; tohundrede og seksogtyve,0
8877,sekshundrede og syvogtyve; trehundrede og femoghalvfems,0
8878,ottehundrede og otteogfyrre; trehundrede og toogfyrre,0
8879,nihundrede og syvogfirs; ethundrede og treoghalvfjerds,0
8880,femhundrede og treoghalvfjerds; syvhundrede og syvoghalvfems,1
8881,tohundrede og syvoghalvfjerds; trehundrede og tredive,1
8882,femhundrede og otte; nihundrede og treogfirs,1
8883,trehundrede og enogtyve; ethundrede og syvoghalvfjerds,0
8884,firehundrede og nitten; ottehundrede og syv,1
8885,trehundrede og femogtreds; trehundrede og otteoghalvfjerds,1
8886,trehundrede og syvoghalvfjerds; ethundrede og syvoghalvtreds,0
8887,sekshundrede og halvfems; firehundrede og fem,0
8888,ethundrede og femogfyrre; firehundrede og treogtredive,1
8889,ethundrede og enoghalvfjerds; nihundrede og syvoghalvfems,1
8890,firehundrede og femoghalvfems; trehundrede og treogtredive,0
8891,femhundrede og otteogtredive; femhundrede og fireoghalvtreds,1
8892,firehundrede og elleve; ethundrede og otteogtreds,0
8893,syvhundrede og femogfirs; nihundrede,1
8894,syvhundrede og femogtyve; ottehundrede og enogfyrre,1
8895,nihundrede og niogtreds; femhundrede og enogtreds,0
8896,tohundrede og fireogfirs; ottehundrede og tretten,1
8897,trehundrede og tooghalvfjerds; syvhundrede og syvoghalvtreds,1
8898,trehundrede og halvfems; sekshundrede og femogfirs,1
8899,firehundrede og nioghalvtreds; nihundrede og femten,1
8900,ottehundrede og syvoghalvfjerds; firehundrede og toogtredive,0
8901,syvhundrede og femogtredive; ethundrede og treoghalvfjerds,0
8902,tohundrede og toogfyrre; firehundrede og fireogfirs,1
8903,firehundrede og femogfyrre; firehundrede og femogtreds,1
8904,nihundrede og fireogfyrre; sekshundrede og enogfirs,0
8905,otteoghalvfems; nihundrede og fireoghalvfems,1
8906,ottehundrede og fireogfirs; nihundrede og seksoghalvfems,1
8907,tohundrede og enogtreds; sekshundrede og femoghalvfjerds,1
8908,toogtyve; femhundrede og treds,1
8909,femhundrede og nioghalvtreds; sekshundrede og ni,1
8910,syvhundrede og femogtyve; firehundrede og seksogfyrre,0
8911,femten; ethundrede og syvogfyrre,1
8912,femhundrede og fyrre; nihundrede og tre,1
8913,fireogtreds; trehundrede og treds,1
8914,otteogfyrre; syvhundrede og syvoghalvfems,1
8915,tohundrede og firs; trehundrede og atten,1
8916,sekshundrede og seksogfirs; ethundrede og firs,0
8917,trehundrede og syvoghalvfems; tohundrede og treogtredive,0
8918,seksogtredive; ethundrede og enogfirs,1
8919,nihundrede og seksogtyve; nihundrede og fireogtredive,1
8920,femhundrede og syvoghalvfjerds; ottehundrede og fireoghalvfjerds,1
8921,sekshundrede og tolv; femhundrede og treds,0
8922,nihundrede og syvogtreds; ottehundrede og atten,0
8923,femhundrede og enoghalvtreds; tohundrede og enogtredive,0
8924,ottehundrede og femoghalvtreds; femhundrede og nioghalvfjerds,0
8925,nihundrede og femogtyve; firehundrede og nioghalvtreds,0
8926,nihundrede og tredive; tohundrede og treogfyrre,0
8927,tohundrede og seksoghalvtreds; fireogtreds,0
8928,syvhundrede og enogfirs; tohundrede og to,0
8929,tretten; ethundrede og femogtreds,1
8930,firehundrede og sytten; ethundrede og nitten,0
8931,nihundrede og femoghalvfems; tohundrede og treogtyve,0
8932,trehundrede og fjorten; seksogfyrre,0
8933,trehundrede og treogtyve; femhundrede og treoghalvtreds,1
8934,syvogtreds; firehundrede og treogfyrre,1
8935,firs; tohundrede og otteogfyrre,1
8936,ethundrede og fireogfyrre; nihundrede og otteogfyrre,1
8937,nioghalvfems; femhundrede og femogtyve,1
8938,otteogfyrre; firehundrede og halvfems,1
8939,ottehundrede og fireoghalvfjerds; ottehundrede og enoghalvtreds,0
8940,tohundrede og femogfirs; sekshundrede og treds,1
8941,syvogtreds; tooghalvfjerds,1
8942,ottehundrede og treogfyrre; nihundrede og femoghalvfjerds,1
8943,firehundrede og enogtreds; nihundrede og syvoghalvtreds,1
8944,ottehundrede og femoghalvfjerds; trehundrede og femogtreds,0
8945,trehundrede og treds; syvhundrede og syvoghalvfjerds,1
8946,seksogfyrre; fireogtyve,0
8947,sekshundrede og femoghalvfjerds; syvhundrede og seksoghalvfjerds,1
8948,syvhundrede og otteogfyrre; fyrre,0
8949,ottehundrede og tooghalvfjerds; sekshundrede og syvogtredive,0
8950,ottehundrede og femoghalvfjerds; atten,0
8951,femhundrede og enoghalvfjerds; sekshundrede og nioghalvfjerds,1
8952,syvoghalvtreds; nihundrede og seksoghalvfjerds,1
8953,nihundrede og otteoghalvfems; femoghalvfems,0
8954,syvhundrede og tre; ottehundrede og niogtredive,1
8955,nihundrede og halvfems; syvhundrede og tre,0
8956,treogtredive; nihundrede og fireogtyve,1
8957,trehundrede og nioghalvfems; sekshundrede og tooghalvfjerds,1
8958,syvhundrede og seksogtyve; fireoghalvfems,0
8959,nihundrede og seksogfirs; ethundrede og nioghalvfjerds,0
8960,otte; tohundrede og tooghalvtreds,1
8961,sekshundrede og syvogfirs; sekshundrede og otteogfyrre,0
8962,syvhundrede og syvogtreds; syvhundrede og seksogtreds,0
8963,firehundrede og femogtyve; nihundrede og seksogtreds,1
8964,ottehundrede og niogtyve; firehundrede og elleve,0
8965,nihundrede og seksogfyrre; femhundrede og syvogtreds,0
8966,ethundrede og femten; ethundrede og otteogtyve,1
8967,ethundrede og halvfjerds; nihundrede og ti,1
8968,ottehundrede og enoghalvfems; otteoghalvfems,0
8969,ethundrede og syvoghalvtreds; ni,0
8970,syvhundrede og treoghalvfems; syvhundrede og tooghalvfjerds,0
8971,syv; trehundrede og toogtyve,1
8972,trehundrede og femogfyrre; tohundrede og toogtreds,0
8973,trehundrede og otteogfyrre; femhundrede og femogtredive,1
8974,firehundrede og seksoghalvfjerds; ottehundrede og enogtyve,1
8975,treogtredive; tohundrede og fireoghalvfems,1
8976,enogtyve; femhundrede og tooghalvtreds,1
8977,trehundrede og femogtredive; tohundrede og ti,0
8978,femhundrede og niogtredive; ottehundrede og seksogtredive,1
8979,femhundrede og seksogfyrre; tohundrede og otteoghalvtreds,0
8980,firehundrede og seksogfyrre; ottehundrede og tre,1
8981,tohundrede og seksten; tohundrede og seksogtredive,1
8982,tohundrede og fem; tohundrede og femogtredive,1
8983,tooghalvtreds; syvhundrede og enogfirs,1
8984,sekshundrede og fjorten; firehundrede og enoghalvtreds,0
8985,femhundrede og niogtredive; femhundrede og enogtreds,1
8986,ottehundrede og syvogtreds; syvhundrede og toogfyrre,0
8987,syvhundrede og enogtredive; seksogfirs,0
8988,ethundrede og enogfirs; trehundrede og halvtreds,1
8989,otteogtreds; ethundrede og toogtyve,1
8990,nihundrede og treds; femhundrede og niogtyve,0
8991,sekshundrede og fireoghalvfems; ethundrede og seksogfyrre,0
8992,syvoghalvfems; syvhundrede og fireoghalvfjerds,1
8993,femhundrede og seksogfyrre; femogfyrre,0
8994,nihundrede og tooghalvtreds; nihundrede og treoghalvtreds,1
8995,firehundrede og toogtyve; sekshundrede og tooghalvfems,1
8996,ottehundrede og fem; ottehundrede og sytten,1
8997,syvhundrede og femoghalvfjerds; firehundrede og syvoghalvtreds,0
8998,ottehundrede og ti; syvhundrede og toogfirs,0
8999,femhundrede og atten; ottehundrede og nioghalvtreds,1
9000,femhundrede og treoghalvtreds; femhundrede og tooghalvfjerds,1
9001,sekshundrede og otteoghalvfems; nioghalvtreds,0
9002,femogtredive; femhundrede og nitten,1
9003,nihundrede og toogtredive; firehundrede og femten,0
9004,tohundrede og nioghalvtreds; nihundrede og enoghalvfems,1
9005,sekshundrede og femoghalvfems; syvhundrede og otteogfyrre,1
9006,otteogtyve; tohundrede og fireogfirs,1
9007,syvhundrede og treoghalvfjerds; femhundrede og tre,0
9008,trehundrede og niogtredive; syvhundrede og fjorten,1
9009,tohundrede og niogtyve; syvhundrede og enogtredive,1
9010,trehundrede og seksogtyve; trehundrede og femogtyve,0
9011,trehundrede og treds; tohundrede og treogfirs,0
9012,syvhundrede og treoghalvfems; fireogtyve,0
9013,sekshundrede og nioghalvtreds; firehundrede og fjorten,0
9014,firehundrede og fyrre; nihundrede og fireoghalvfjerds,1
9015,syvhundrede og seksoghalvtreds; ethundrede og halvtreds,0
9016,fireoghalvfems; firehundrede og syvogtyve,1
9017,nihundrede og tredive; nihundrede og syvogfyrre,1
9018,treoghalvfems; femhundrede og femten,1
9019,ottehundrede og seksten; sekshundrede og syvogtyve,0
9020,ethundrede og ni; trehundrede og nioghalvfems,1
9021,firehundrede og fem; niogtreds,0
9022,sekshundrede og otteoghalvtreds; sekshundrede og treds,1
9023,ottehundrede og syv; ethundrede og femogtyve,0
9024,sekshundrede og tooghalvfjerds; firehundrede og treoghalvfems,0
9025,femhundrede og tredive; nihundrede og treogfyrre,1
9026,sekshundrede og treogtyve; trehundrede og fyrre,0
9027,nihundrede og otteogfirs; syvhundrede og elleve,0
9028,seksogtreds; syvhundrede og femogtyve,1
9029,sekshundrede og femogtreds; syvhundrede og syvogfirs,1
9030,nihundrede og treogfirs; nihundrede og femogfyrre,0
9031,trehundrede og fjorten; ottehundrede og enoghalvtreds,1
9032,tohundrede og fireogtyve; trehundrede og niogfyrre,1
9033,trehundrede og tooghalvfjerds; syvhundrede og seksoghalvtreds,1
9034,femhundrede og treoghalvfjerds; tohundrede og tooghalvtreds,0
9035,tohundrede og ni; sekshundrede og syvoghalvtreds,1
9036,sekshundrede og enoghalvfjerds; nihundrede og syvogtredive,1
9037,seksogfyrre; sekshundrede og treoghalvfjerds,1
9038,ottehundrede og fyrre; ottehundrede og femogtredive,0
9039,sekshundrede og enoghalvfjerds; firehundrede og enoghalvfjerds,0
9040,nihundrede og syvoghalvfjerds; ethundrede og femten,0
9041,tohundrede og enogfirs; tohundrede og femoghalvfems,1
9042,trehundrede og femoghalvfjerds; ethundrede og treogfirs,0
9043,firehundrede og otteogtreds; ottehundrede og to,1
9044,syvogtreds; femhundrede og fire,1
9045,femhundrede og fireogtredive; firehundrede og nitten,0
9046,nihundrede og nioghalvfjerds; femhundrede og fireoghalvfjerds,0
9047,ottehundrede og seksoghalvtreds; ottehundrede og nitten,0
9048,ottehundrede og femogfyrre; syvhundrede og femogfyrre,0
9049,ethundrede og femoghalvtreds; firehundrede og niogtreds,1
9050,syvhundrede og syvogfirs; femoghalvfems,0
9051,femhundrede og niogfirs; firehundrede og syvoghalvfjerds,0
9052,to; syvhundrede og toogtredive,1
9053,tooghalvfems; sekshundrede og halvfems,1
9054,femhundrede og to; syvhundrede og tooghalvfjerds,1
9055,nihundrede og fem; femhundrede og seksogtredive,0
9056,ottehundrede og treogtredive; nihundrede og syv,1
9057,sekshundrede og femoghalvfems; trehundrede og syvoghalvtreds,0
9058,trehundrede og niogfyrre; trehundrede og nioghalvtreds,1
9059,ethundrede og seksogtredive; nihundrede og seksogtreds,1
9060,femhundrede og femoghalvtreds; ethundrede og femoghalvfems,0
9061,nihundrede og seksten; trehundrede og niogtreds,0
9062,sekshundrede og ni; firehundrede og fjorten,0
9063,tohundrede og tooghalvfjerds; ethundrede og tretten,0
9064,femhundrede og seksogtreds; syvhundrede og otteogtyve,1
9065,femhundrede og niogfyrre; firehundrede og femogtyve,0
9066,syvhundrede og femogtreds; nihundrede og syvoghalvfjerds,1
9067,tohundrede og otteogtreds; syvhundrede og seksten,1
9068,tohundrede og otteogfirs; sekshundrede og femoghalvfems,1
9069,tohundrede og femogtyve; tohundrede og femoghalvtreds,1
9070,femhundrede og treoghalvfems; syvhundrede og seksogfirs,1
9071,trehundrede og enogtyve; femhundrede og otte,1
9072,treogtredive; ethundrede og seksogfirs,1
9073,femhundrede og enoghalvfems; seks,0
9074,ottehundrede og seksogfirs; tohundrede og toogtredive,0
9075,tohundrede og enogtyve; sekshundrede og fire,1
9076,trehundrede og seksten; femhundrede og treogtredive,1
9077,tohundrede og nitten; nihundrede og otteogtreds,1
9078,syvhundrede og niogtreds; ethundrede og elleve,0
9079,ottehundrede og femogfyrre; ethundrede og niogfyrre,0
9080,sekshundrede og otteoghalvfjerds; trehundrede og tooghalvtreds,0
9081,nihundrede og toogtredive; firehundrede og otteogtredive,0
9082,ethundrede og syvoghalvfems; tohundrede og treogtyve,1
9083,femhundrede og seksogtredive; nihundrede og seksogfyrre,1
9084,nihundrede og fjorten; firehundrede og halvfems,0
9085,sekshundrede og fire; sekshundrede og seksogfirs,1
9086,firehundrede og treoghalvfjerds; nihundrede og seksoghalvtreds,1
9087,sekshundrede og fireogfyrre; femhundrede og fireogtreds,0
9088,ottehundrede og tooghalvfjerds; sekshundrede og tooghalvtreds,0
9089,ethundrede og fireogtyve; trehundrede og ni,1
9090,syvhundrede og sytten; firehundrede og syvogtreds,0
9091,syvhundrede og sytten; nihundrede og firs,1
9092,syvhundrede og tredive; firehundrede og et,0
9093,femhundrede og enoghalvfems; firehundrede og tooghalvfjerds,0
9094,sekshundrede og femoghalvfems; nihundrede og tooghalvtreds,1
9095,toogtreds; syvhundrede og tredive,1
9096,sekshundrede og femogfirs; syvhundrede og tredive,1
9097,firehundrede og firs; femhundrede og otteogtreds,1
9098,femhundrede og otteoghalvtreds; nihundrede og enoghalvtreds,1
9099,femhundrede og sytten; nihundrede og treds,1
9100,femhundrede og seksogtreds; ottehundrede og syvogtredive,1
9101,tohundrede og tooghalvfems; trehundrede og niogfyrre,1
9102,sekshundrede og femogtreds; firehundrede og treogtredive,0
9103,trehundrede og tyve; tohundrede og femoghalvtreds,0
9104,syvhundrede og seksogtyve; femogfirs,0
9105,nihundrede og syvogtredive; femhundrede og syvogfirs,0
9106,ottehundrede og elleve; firehundrede og sytten,0
9107,nihundrede og tooghalvfems; femhundrede og niogtredive,0
9108,ethundrede og tredive; nihundrede og sytten,1
9109,firehundrede og seksoghalvtreds; sekshundrede og ti,1
9110,ethundrede og otteogfyrre; tohundrede og toogtyve,1
9111,ottehundrede og femogtredive; syvhundrede og treoghalvfems,0
9112,ethundrede og treogtredive; trehundrede og enogtredive,1
9113,nihundrede og niogfirs; nihundrede og toogfirs,0
9114,ethundrede og nioghalvfjerds; syvhundrede og niogfirs,1
9115,ethundrede og elleve; ethundrede og femten,1
9116,trehundrede og otteogtredive; sekshundrede og toogtyve,1
9117,sekshundrede og halvfjerds; ottehundrede og femoghalvtreds,1
9118,tohundrede og seksoghalvtreds; tretten,0
9119,ethundrede og et; tohundrede og enogtredive,1
9120,ethundrede og treogtredive; ottehundrede og otteoghalvfjerds,1
9121,trehundrede og treogfyrre; trehundrede og toogfyrre,0
9122,syvhundrede og seksoghalvfems; nihundrede og enogfyrre,1
9123,femhundrede og treogfyrre; femhundrede og syvoghalvfems,1
9124,ottehundrede og fireogtyve; femogfirs,0
9125,sekshundrede og seksogtyve; trehundrede og tyve,0
9126,tooghalvfjerds; femhundrede og nioghalvfjerds,1
9127,firehundrede og seksogtyve; firehundrede og femoghalvfems,1
9128,nihundrede og seksten; firehundrede og halvtreds,0
9129,nihundrede og nioghalvfjerds; syvhundrede og femoghalvtreds,0
9130,syvhundrede og treogtyve; ottehundrede og femogtreds,1
9131,syvhundrede og treoghalvtreds; ottehundrede og halvfjerds,1
9132,ethundrede og tre; trehundrede og halvfems,1
9133,femhundrede og femogtredive; ottehundrede og ni,1
9134,tohundrede og niogfyrre; sekshundrede og femogfirs,1
9135,sekshundrede og et; syvhundrede og fireogtreds,1
9136,nihundrede og treds; sekshundrede og nioghalvfjerds,0
9137,sekshundrede og otteogtredive; tohundrede og halvtreds,0
9138,femhundrede og syvoghalvfems; femhundrede og femten,0
9139,tohundrede og enoghalvtreds; sekshundrede og otteogfyrre,1
9140,femogfyrre; tohundrede og treogtredive,1
9141,ottehundrede og syvogtyve; nihundrede og niogfyrre,1
9142,syvhundrede og enogtreds; ottehundrede og sytten,1
9143,firehundrede og otteogtyve; syvhundrede og femogtreds,1
9144,trehundrede og enogfyrre; sekshundrede og toogtredive,1
9145,tohundrede og fireoghalvtreds; halvtreds,0
9146,niogfyrre; trehundrede og tredive,1
9147,nihundrede og seksoghalvfems; tohundrede og seksoghalvfjerds,0
9148,nihundrede og syvogtredive; trehundrede og fireogtredive,0
9149,tohundrede og otteoghalvfjerds; sekshundrede og treogtyve,1
9150,tohundrede og enogfirs; syvhundrede og fireogfyrre,1
9151,ethundrede og treoghalvfems; syvhundrede og treoghalvtreds,1
9152,nihundrede og tooghalvtreds; femhundrede og syvogfyrre,0
9153,firehundrede og toogtreds; enogtredive,0
9154,firehundrede og elleve; syvhundrede og treoghalvfems,1
