,nums,labels
0,trehundrede og otteoghalvfjerds; syvhundrede og treogtreds,1
9859,fireogfirs; trehundrede og femogtreds,1
9860,femhundrede og syv; trehundrede og et,0
9861,ottehundrede og fireogtyve; femhundrede og femoghalvtreds,0
9862,sekshundrede og enogtredive; sekshundrede og nioghalvtreds,1
9863,femhundrede og fem; tohundrede og treogtredive,0
9864,femhundrede og seksogtyve; tohundrede og seksogfirs,0
9865,firehundrede og enoghalvfjerds; nihundrede og enoghalvfjerds,1
9866,firehundrede og treoghalvfems; firehundrede og seksogfirs,0
9867,sekshundrede og firs; trehundrede og halvtreds,0
9868,sekshundrede og niogfyrre; fireogtredive,0
9869,firehundrede og halvfems; nihundrede og enoghalvfjerds,1
9870,firehundrede og niogtredive; nihundrede og femoghalvfems,1
9871,syvhundrede og syv; nihundrede og seksoghalvfems,1
9872,ethundrede og enogfyrre; tohundrede og syvoghalvtreds,1
9873,firehundrede og syvoghalvfems; nihundrede og seksogtredive,1
9874,ottehundrede og et; trehundrede og fem,0
9875,enogtyve; firehundrede og otte,1
9876,femhundrede og otteogfyrre; ethundrede og enoghalvtreds,0
9877,syvhundrede og et; ethundrede og femoghalvfjerds,0
9878,femhundrede og niogtyve; nihundrede og tyve,1
9879,syvhundrede og treoghalvtreds; femoghalvfems,0
9880,seksoghalvfjerds; sekshundrede og nioghalvfjerds,1
9881,sekshundrede og fyrre; tohundrede og otteogtredive,0
9882,sekshundrede og enogfyrre; ottehundrede og seksoghalvfjerds,1
9883,trehundrede og seksten; sekshundrede og seks,1
9884,ethundrede og ni; trehundrede og nioghalvfems,1
9885,treogfirs; tohundrede og tre,1
9886,femhundrede og femoghalvfems; ottehundrede og fjorten,1
9887,ottehundrede og atten; femhundrede og tretten,0
9888,trehundrede og femoghalvfems; trehundrede og femogfyrre,0
9889,femhundrede og tretten; ethundrede og seksoghalvfems,0
9890,nihundrede og treogfyrre; femhundrede og seksogfirs,0
9891,syvhundrede og treogfirs; nihundrede og halvtreds,1
9892,tohundrede og niogfirs; firehundrede og fireoghalvfems,1
9893,tohundrede og tooghalvfjerds; sekshundrede og tredive,1
9894,femhundrede og fireoghalvfems; firehundrede og otteogfyrre,0
9895,femhundrede og toogtredive; sekshundrede og otteogfirs,1
9896,halvfjerds; firehundrede og treogtreds,1
9897,ottehundrede og otte; firehundrede og treogtyve,0
9898,nihundrede og treogfyrre; ottehundrede og otteoghalvfjerds,0
9899,sekshundrede og elleve; nihundrede og nitten,1
9900,treds; femhundrede og fyrre,1
9901,tohundrede og femogtyve; firehundrede og otteogtyve,1
9902,sekshundrede og femogtredive; syvogfyrre,0
9903,firehundrede og femoghalvfjerds; femhundrede og syvogtreds,1
9904,ottehundrede og seks; ethundrede og treogtredive,0
9905,tohundrede og otteoghalvfems; femhundrede og treoghalvfjerds,1
9906,trehundrede og syvoghalvtreds; ethundrede og toogtyve,0
9907,trehundrede og fireogtyve; ottehundrede og fireoghalvfems,1
9908,femhundrede og treogtreds; femten,0
9909,ottehundrede og nioghalvfjerds; tohundrede,0
9910,firehundrede og nioghalvfems; ottehundrede og halvtreds,1
9911,syvhundrede og seksoghalvfjerds; trehundrede og femogtreds,0
9912,nihundrede og seksogtyve; syvhundrede og enoghalvtreds,0
9913,femhundrede og et; firehundrede og femogfyrre,0
9914,firehundrede og syvoghalvfems; syvhundrede og seksogtredive,1
9915,nihundrede og halvfjerds; syvhundrede og syvogtreds,0
9916,syvhundrede og nioghalvtreds; firehundrede og toogfyrre,0
9917,treoghalvtreds; sekshundrede og otteogfyrre,1
9918,nioghalvtreds; sekshundrede og femoghalvfjerds,1
9919,syvoghalvtreds; ottehundrede og halvfems,1
9920,ethundrede og nioghalvtreds; nihundrede og treogtreds,1
9921,ethundrede og seksogtyve; sekshundrede og toogtreds,1
9922,syvhundrede og syv; firehundrede og syv,0
9923,femhundrede og firs; ottehundrede og sytten,1
9924,sekshundrede og treogtreds; tohundrede og enoghalvfems,0
9925,ethundrede og toogtreds; firehundrede og enoghalvtreds,1
9926,sekshundrede og otteogfirs; trehundrede og fireogtredive,0
9927,ethundrede og femogtreds; tohundrede og treds,1
9928,ethundrede og et; femhundrede og fireogtyve,1
9929,ottehundrede og toogtyve; toogtreds,0
9930,ethundrede og tre; seksoghalvtreds,0
9931,tohundrede og seksoghalvfjerds; sekshundrede og femogfyrre,1
9932,trehundrede og syvogtredive; femhundrede og enogfyrre,1
9933,nihundrede og syvoghalvfems; firehundrede og tre,0
9934,ethundrede og treogfyrre; tohundrede og sytten,1
9935,femoghalvfjerds; trehundrede og atten,1
9936,syvhundrede og enogtyve; ethundrede og ti,0
9937,ottehundrede og halvtreds; syvhundrede og otteogtredive,0
9938,nihundrede og nioghalvfems; syvhundrede og enogtyve,0
9939,firehundrede og otteogtreds; fireogtreds,0
9940,femhundrede og femogfyrre; nitten,0
9941,sekshundrede og enoghalvtreds; sekshundrede og fireoghalvfems,1
9942,tohundrede og tredive; fire,0
9943,syvhundrede og tooghalvtreds; nihundrede og niogfyrre,1
9944,ethundrede og atten; nihundrede og enoghalvfjerds,1
9945,nihundrede og fireoghalvfems; tohundrede og seksoghalvtreds,0
9946,femoghalvtreds; otteogfirs,1
9947,syvhundrede og syvogfyrre; nihundrede og treogtyve,1
9948,syvhundrede og fireogfyrre; sekshundrede og halvfems,0
9949,femhundrede og enogfirs; firehundrede og fireoghalvtreds,0
9950,firehundrede og femogtredive; femhundrede og nitten,1
9951,sekshundrede og otteogtreds; femhundrede og tooghalvtreds,0
9952,ottehundrede og halvtreds; syvhundrede og fireoghalvfjerds,0
9953,syvhundrede og otteogtreds; firehundrede og toogtredive,0
9954,femhundrede og otteoghalvtreds; firehundrede og fyrre,0
9955,trehundrede og seksogtredive; ethundrede og tyve,0
9956,ottehundrede og syvoghalvtreds; ethundrede og syvogfyrre,0
9957,tohundrede og treoghalvfjerds; nihundrede og femoghalvfjerds,1
9958,trehundrede og femogtredive; tohundrede og syvoghalvtreds,0
9959,nihundrede og otteoghalvfems; firehundrede og elleve,0
9960,ethundrede og nitten; ottehundrede og et,1
9961,sekshundrede og tolv; ethundrede og nitten,0
9962,trehundrede og treoghalvfems; syvhundrede og enogtreds,1
9963,firehundrede og fireogtyve; enogtyve,0
9964,syv; sekshundrede og niogtreds,1
9965,firehundrede og fjorten; femhundrede og treogtreds,1
9966,ottehundrede og toogfyrre; syvogfirs,0
9967,nihundrede og syvogtredive; femhundrede og syvogfirs,0
9968,firehundrede og ni; sekshundrede og tre,1
9969,nihundrede og fem; femhundrede og seksogtredive,0
9970,trehundrede og elleve; trehundrede og tyve,1
9971,otteoghalvtreds; tyve,0
9972,tohundrede og treds; nihundrede og syvogtredive,1
9973,ottehundrede og femogtyve; sekshundrede og toogtreds,0
9974,nihundrede og treogtredive; nihundrede og treogtyve,0
9975,firehundrede og otteogfirs; fjorten,0
9976,femhundrede og fireogtyve; trehundrede og tooghalvfjerds,0
9977,tohundrede og seksogtredive; sekshundrede og otteoghalvtreds,1
9978,treoghalvfems; ethundrede og tredive,1
9979,nihundrede og enogtreds; nihundrede og femogfirs,1
9980,trehundrede og seksogfirs; sekshundrede og tooghalvfjerds,1
9981,sekshundrede og otteogtyve; tohundrede og syv,0
9982,ethundrede og enogfyrre; sekshundrede og niogtredive,1
9983,firehundrede og seks; syvhundrede og fire,1
9984,nihundrede og femten; firehundrede og halvtreds,0
9985,ethundrede og elleve; tohundrede og niogfirs,1
9986,sekshundrede og treogtreds; femhundrede og nioghalvfjerds,0
9987,trehundrede og sytten; seksogtyve,0
9988,syvhundrede og treogfyrre; sekshundrede og syvogtreds,0
9989,otteogtreds; ethundrede og femogtreds,1
9990,atten; nihundrede og tooghalvfems,1
9991,sekshundrede og femten; trehundrede og enogtyve,0
9992,tohundrede og enogfirs; nihundrede og tooghalvtreds,1
9993,ethundrede og treogtyve; seksogtreds,0
9994,syvhundrede og treogfirs; firehundrede og toogfyrre,0
9995,firehundrede og niogtredive; trehundrede og femoghalvfjerds,0
9996,syvhundrede og et; syvogfyrre,0
9997,atten; ethundrede og treogfyrre,1
9998,ottehundrede og otteogtreds; femhundrede og nioghalvfjerds,0
9999,tohundrede og tooghalvtreds; ottehundrede og treoghalvfjerds,1
10000,ni; ottehundrede og nioghalvfems,1
10001,trehundrede og fyrre; syvhundrede og seksogtyve,1
10002,nihundrede og halvtreds; femhundrede og syvoghalvfjerds,0
10003,ottehundrede og femoghalvtreds; nihundrede og femoghalvfjerds,1
10004,trehundrede og femoghalvfjerds; toogfirs,0
10005,nihundrede og seksoghalvtreds; femhundrede og fireogtredive,0
10006,tohundrede og toogtyve; firehundrede og femogtredive,1
10007,ethundrede og tooghalvtreds; syvhundrede og enoghalvfjerds,1
10008,firehundrede og syvogtredive; firehundrede og syvogtyve,0
10009,femhundrede og tyve; sekshundrede og tre,1
10010,nihundrede og ti; tooghalvfjerds,0
10011,trehundrede og treogtreds; elleve,0
10012,nihundrede og toogtyve; sekshundrede og syvogfyrre,0
10013,ethundrede og enogtredive; syvhundrede og treoghalvfems,1
10014,niogfyrre; tohundrede og otteoghalvtreds,1
10015,ethundrede og syvogfyrre; tohundrede og niogfyrre,1
10016,nihundrede og tretten; ethundrede og fireogtreds,0
10017,firehundrede og enogtredive; tohundrede og enoghalvfems,0
10018,syvhundrede og otteogtredive; syvhundrede og treogtredive,0
10019,nihundrede og seks; sekshundrede og halvtreds,0
10020,ottehundrede og enogtreds; trehundrede og fire,0
10021,ottehundrede og toogtredive; ottehundrede og treogfyrre,1
10022,nioghalvtreds; niogfirs,1
10023,femhundrede og fireogtyve; femhundrede og halvfjerds,1
10024,firehundrede og enogfirs; ethundrede og firs,0
10025,ethundrede og treoghalvfjerds; ottehundrede og otteogtredive,1
10026,syvhundrede og treogfirs; enoghalvfems,0
10027,otteogtredive; tohundrede og seks,1
10028,femhundrede og toogtredive; femhundrede og enogtyve,0
10029,trehundrede og fyrre; syvhundrede og halvfjerds,1
10030,firehundrede og fireoghalvfjerds; nihundrede og enogtredive,1
10031,syvhundrede og enoghalvtreds; firehundrede og firs,0
10032,sekshundrede og fem; trehundrede og tooghalvtreds,0
10033,firehundrede og nioghalvfjerds; femhundrede og femoghalvfems,1
10034,ottehundrede og enogtyve; trehundrede og fireogfyrre,0
10035,femhundrede og tooghalvtreds; ethundrede og seksogfyrre,0
10036,femhundrede og niogtredive; ottehundrede og syvogtredive,1
10037,femhundrede og femogfyrre; tohundrede og nioghalvfjerds,0
10038,ethundrede og toogtreds; tohundrede og nioghalvfems,1
10039,ethundrede og femoghalvfjerds; tohundrede og niogtreds,1
10040,nihundrede og firs; ethundrede og femoghalvtreds,0
10041,tohundrede og femogfyrre; tohundrede og nioghalvtreds,1
10042,tohundrede og nioghalvtreds; nihundrede og seksoghalvfjerds,1
10043,ottehundrede og seksogfyrre; syvhundrede og treogfyrre,0
10044,tohundrede og enogtyve; nihundrede og niogfirs,1
10045,sekshundrede og seksten; tohundrede og enogfyrre,0
10046,trehundrede og sytten; nihundrede og fire,1
10047,tohundrede og tooghalvfems; ethundrede og tooghalvfjerds,0
10048,femhundrede og seksogtyve; syvhundrede og fjorten,1
10049,tohundrede og sytten; sekshundrede og otteoghalvfjerds,1
10050,nihundrede og tooghalvfems; ottehundrede og niogtyve,0
10051,nihundrede og treogtreds; ethundrede,0
10052,trehundrede og syvoghalvfjerds; trehundrede og treoghalvfems,1
10053,femhundrede og femten; femhundrede og femogtyve,1
10054,trehundrede og otteogfyrre; tohundrede og syvoghalvfems,0
10055,nihundrede og seksoghalvtreds; syvhundrede og toogfirs,0
10056,sekshundrede og niogfirs; femhundrede og treogtreds,0
10057,syvhundrede og enogtreds; ethundrede og enogtreds,0
10058,sekshundrede og treogtyve; ottehundrede og fem,1
10059,sekshundrede og fyrre; ottehundrede og tredive,1
10060,trehundrede og femogtredive; nihundrede og seksoghalvfjerds,1
10061,femhundrede og niogfyrre; ethundrede og seksogfyrre,0
10062,ethundrede og otteogtyve; syvhundrede og nioghalvfjerds,1
10063,ethundrede og treoghalvfjerds; syvhundrede og enogtyve,1
10064,firehundrede og et; nihundrede og femogfirs,1
10065,nihundrede og halvfjerds; fireoghalvfems,0
10066,treogtyve; trehundrede og otteogtreds,1
10067,tohundrede og tre; treogfirs,0
10068,femhundrede og treogtyve; tolv,0
10069,femhundrede og femogtredive; firehundrede og nioghalvfjerds,0
10070,ethundrede og toogtyve; trehundrede og femoghalvfems,1
10071,ottehundrede og syvogfyrre; syvhundrede og halvtreds,0
10072,femhundrede og treogfyrre; syvhundrede og treoghalvtreds,1
10073,ottehundrede og nitten; femhundrede og otteoghalvfems,0
10074,ethundrede og syvogfyrre; syvhundrede og treoghalvfems,1
10075,femhundrede og syvoghalvtreds; sekshundrede og tooghalvfjerds,1
10076,nihundrede; trehundrede og enoghalvfjerds,0
10077,ottehundrede og enogtreds; treogtyve,0
10078,fem; seksogfirs,1
10079,ottehundrede og nitten; femhundrede og toogtyve,0
10080,firehundrede og femogtyve; fireoghalvfjerds,0
10081,firehundrede og toogfyrre; syvhundrede og femogfirs,1
10082,syvhundrede og fireoghalvfjerds; syvhundrede og treogtreds,0
10083,sekshundrede og otteoghalvfjerds; trehundrede og otteogfirs,0
10084,trehundrede og femogfyrre; femhundrede og toogtredive,1
10085,firehundrede og sytten; trehundrede og halvfjerds,0
10086,ethundrede og enogtredive; femhundrede og femogtreds,1
10087,syvhundrede og niogfyrre; syvhundrede og tooghalvtreds,1
10088,ottehundrede og syv; ottehundrede og seksogtredive,1
10089,tretten; tohundrede og seksogtreds,1
10090,otteoghalvtreds; nihundrede og fireoghalvtreds,1
10091,syvhundrede og enoghalvtreds; tohundrede og enoghalvtreds,0
10092,syvhundrede og fireoghalvtreds; sekshundrede og otteoghalvfjerds,0
10093,syvhundrede og otteogtredive; ethundrede og halvfems,0
10094,nihundrede og toogtyve; firehundrede og treogfirs,0
10095,tohundrede og fireoghalvfems; femhundrede og fem,1
10096,ethundrede og otteogtyve; firehundrede og tyve,1
10097,tohundrede og seksogtreds; nihundrede og fireogtyve,1
10098,femhundrede og femogtreds; femhundrede og treogtreds,0
10099,nihundrede og treoghalvfjerds; ethundrede og tyve,0
10100,sekshundrede og tolv; nihundrede og niogfyrre,1
10101,sekshundrede og enogtyve; tohundrede og toogtredive,0
10102,seksoghalvfjerds; ottehundrede og seksogtredive,1
10103,firehundrede og nioghalvfjerds; tohundrede og nitten,0
10104,tohundrede og otteogtreds; nihundrede og toogfyrre,1
10105,nihundrede og nitten; syvhundrede og fireogtreds,0
10106,trehundrede og seksoghalvfems; syvhundrede og tredive,1
10107,syvhundrede og fyrre; ethundrede og treoghalvfjerds,0
10108,syvhundrede; firehundrede og treogtreds,0
10109,firehundrede og syvoghalvfjerds; tohundrede og otteoghalvfems,0
10110,ethundrede og otteogfirs; femoghalvtreds,0
10111,firehundrede og treoghalvfems; ottehundrede og treoghalvfjerds,1
10112,sekshundrede og otteogfirs; sekshundrede og syvoghalvfjerds,0
10113,atten; tohundrede og seksoghalvfjerds,1
10114,firehundrede og femoghalvtreds; trehundrede og syvoghalvfjerds,0
10115,sekshundrede og ni; femhundrede og femogtyve,0
10116,trehundrede og toogtreds; fireogtreds,0
10117,ottehundrede og tooghalvtreds; ottehundrede og seksogtreds,1
10118,tohundrede og niogtredive; nihundrede og seks,1
10119,ethundrede og enogfirs; tohundrede og niogtyve,1
10120,firehundrede og otte; halvfems,0
10121,otteoghalvfjerds; femhundrede og treoghalvfems,1
10122,syvhundrede og toogtredive; syvhundrede og nioghalvtreds,1
10123,trehundrede og treogtyve; fireogtyve,0
10124,sekshundrede og nioghalvfems; ottehundrede og niogfirs,1
10125,ethundrede og otteogfirs; seksogfyrre,0
10126,ottehundrede og tolv; nihundrede og halvfems,1
10127,ottehundrede og syvoghalvfjerds; syvhundrede og syv,0
10128,trehundrede; nihundrede og niogtredive,1
10129,tohundrede og halvfems; trehundrede og treogtreds,1
10130,ethundrede og seks; treogtredive,0
10131,femhundrede og niogfyrre; fem,0
10132,ottehundrede og tooghalvfjerds; firehundrede og fireogtreds,0
10133,treoghalvfjerds; nihundrede og seksogfyrre,1
10134,femhundrede og syvoghalvtreds; otte,0
10135,firehundrede og fireoghalvfems; syvhundrede og ti,1
10136,nihundrede og femoghalvfems; nihundrede og toogfirs,0
10137,nihundrede og otteogtyve; ottehundrede og tooghalvfems,0
10138,ottehundrede og femogfyrre; femhundrede og et,0
10139,nihundrede og ni; femhundrede og toogtyve,0
10140,ethundrede og enogfirs; trehundrede og seks,1
10141,tohundrede og tyve; nihundrede og femogtyve,1
10142,nihundrede og seksogfirs; otteogtyve,0
10143,sekshundrede og otteogtredive; trehundrede og syvogfyrre,0
10144,firehundrede og enoghalvfjerds; trehundrede og otteoghalvfems,0
10145,sekshundrede; tohundrede og syvogtyve,0
10146,ethundrede og femoghalvtreds; tohundrede og seksogtyve,1
10147,sekshundrede og treogtredive; trehundrede og treds,0
10148,femogtreds; ethundrede og tooghalvtreds,1
10149,nihundrede og toogfirs; sekshundrede og treoghalvfems,0
10150,ethundrede og femogfirs; trehundrede og firs,1
10151,trehundrede og niogfyrre; femhundrede og seksoghalvfems,1
10152,treogtredive; femhundrede og otteoghalvfjerds,1
10153,syvhundrede og nioghalvtreds; ottehundrede og halvfjerds,1
10154,sekshundrede og syvogtyve; syvhundrede og tretten,1
10155,tohundrede og syvogtredive; syvhundrede og nioghalvtreds,1
10156,trehundrede og tyve; femhundrede og otteogtyve,1
10157,syvhundrede og et; firehundrede og elleve,0
10158,trehundrede og treogfyrre; ottehundrede og syvoghalvfems,1
10159,otteoghalvtreds; firehundrede og otteoghalvtreds,1
10160,ottehundrede og femogfyrre; syvhundrede og femogfyrre,0
10161,trehundrede og femoghalvfems; ethundrede og et,0
10162,sekshundrede og nioghalvtreds; trehundrede og syvoghalvfems,0
10163,femhundrede og ni; firehundrede og niogtreds,0
10164,ethundrede og fem; seksogfirs,0
10165,fireogfyrre; femhundrede og seks,1
10166,ottehundrede og femoghalvtreds; firehundrede og enoghalvfems,0
10167,femhundrede og syvogtreds; femhundrede og fireogtredive,0
10168,ethundrede og seksogtredive; femten,0
10169,trehundrede; seksogfirs,0
10170,trehundrede og femogtredive; ethundrede og nioghalvfems,0
10171,syvhundrede og fyrre; ottehundrede og toogtreds,1
10172,tohundrede og halvtreds; sekshundrede og seksogtreds,1
10173,tohundrede og tolv; ethundrede og fjorten,0
10174,nihundrede og enogfirs; trehundrede og seksoghalvfems,0
10175,nihundrede og syvoghalvtreds; sekshundrede og syvogfirs,0
10176,femhundrede og tretten; femhundrede og tolv,0
10177,ottehundrede og treogfyrre; femhundrede og nitten,0
10178,halvfems; nihundrede og niogtreds,1
10179,elleve; ottehundrede og otteogtreds,1
10180,trehundrede og seksoghalvfjerds; syvhundrede og nioghalvfems,1
10181,syvhundrede og femogfirs; syvhundrede,0
10182,femhundrede og treoghalvtreds; ottehundrede og fireogtyve,1
10183,trehundrede og otteogfirs; syvhundrede og treds,1
10184,syvhundrede og enogfirs; firehundrede og tyve,0
10185,syvhundrede og femogtyve; nihundrede og ti,1
10186,ethundrede og treds; trehundrede og nitten,1
10187,nihundrede og enogfirs; ottehundrede og otteogtyve,0
10188,sekshundrede og seksoghalvfems; firehundrede og otteogfirs,0
10189,nihundrede og tooghalvfems; syvhundrede og tooghalvfjerds,0
10190,nihundrede og nioghalvfems; femhundrede og et,0
10191,tohundrede og elleve; syvhundrede og seksogtredive,1
10192,syvhundrede og enoghalvfjerds; femhundrede og halvtreds,0
10193,syvhundrede og elleve; ottehundrede og syvoghalvfjerds,1
10194,nihundrede og syvoghalvtreds; trehundrede og seksoghalvfems,0
10195,treoghalvtreds; firehundrede og femogtyve,1
10196,femhundrede og seksogtreds; treds,0
10197,ethundrede og treogfyrre; ottehundrede og femogfyrre,1
10198,firehundrede og niogfyrre; trehundrede og otteogfyrre,0
10199,firehundrede og otte; tohundrede og nitten,0
10200,ottehundrede og toogtreds; trehundrede og seksoghalvfjerds,0
10201,nihundrede og tyve; femhundrede og tretten,0
10202,syv; syvhundrede og syvogfirs,1
10203,femhundrede og treogfyrre; femhundrede og syvogtyve,0
10204,femhundrede og otteoghalvfjerds; sekshundrede og enoghalvfems,1
10205,ottehundrede og tyve; seksoghalvfems,0
10206,ottehundrede og tolv; enoghalvfjerds,0
10207,tohundrede og seksogtreds; firehundrede og fyrre,1
10208,nihundrede og seksoghalvtreds; trehundrede og otteoghalvfems,0
10209,nihundrede og et; femhundrede og halvfjerds,0
10210,syvhundrede og elleve; trehundrede og enoghalvfjerds,0
10211,ottehundrede og seksogfyrre; ottehundrede og ni,0
10212,tohundrede og niogfyrre; sekshundrede og to,1
10213,niogfirs; ottehundrede og tooghalvtreds,1
10214,ethundrede og enogfyrre; syvhundrede og otteogfyrre,1
10215,treoghalvtreds; ottehundrede og fire,1
10216,tohundrede og treds; treogfirs,0
10217,trehundrede og otteoghalvtreds; ottehundrede og seksogtreds,1
10218,ethundrede og niogfyrre; nihundrede og tooghalvtreds,1
10219,sekshundrede og fireoghalvtreds; femhundrede og toogtreds,0
10220,syvhundrede og syvogfyrre; tohundrede og seksoghalvfjerds,0
10221,syvhundrede og tolv; femhundrede og enoghalvfems,0
10222,trehundrede og syvoghalvfems; firehundrede og fem,1
10223,femhundrede og otteoghalvfjerds; firehundrede og femogfyrre,0
10224,ottehundrede og toogfyrre; syvhundrede og syvogtreds,0
10225,ottehundrede; sekshundrede og treoghalvfems,0
10226,ottehundrede og fireoghalvtreds; femhundrede og syvoghalvtreds,0
10227,tohundrede og fjorten; trehundrede og seksoghalvtreds,1
10228,firehundrede og treoghalvfjerds; femhundrede og femogtredive,1
10229,sekshundrede og enoghalvtreds; ethundrede og ti,0
10230,tooghalvfems; syvhundrede,1
10231,firehundrede og seksogtredive; trehundrede og fjorten,0
10232,tohundrede og tooghalvfems; syvogtredive,0
10233,femhundrede og niogfyrre; firehundrede og niogfirs,0
10234,nihundrede og niogfirs; halvfems,0
10235,femhundrede og seks; firehundrede og otteoghalvtreds,0
10236,ottehundrede og fem; nihundrede og seksogtyve,1
10237,ottehundrede og fjorten; syvhundrede og halvfems,0
10238,tohundrede og tyve; ottehundrede og fireogfirs,1
10239,ethundrede og fjorten; niogtredive,0
10240,sekshundrede og tolv; tohundrede og seksogtreds,0
10241,trehundrede og niogtyve; tohundrede og otteogfirs,0
10242,femhundrede og tredive; firehundrede og niogtyve,0
10243,treogtredive; femhundrede og nitten,1
10244,trehundrede og fireoghalvfems; ottehundrede og otteoghalvfjerds,1
10245,ethundrede og nioghalvfems; nihundrede og syvoghalvtreds,1
10246,femhundrede og otteoghalvfems; tohundrede og to,0
10247,trehundrede og syvogtyve; tohundrede og nioghalvfjerds,0
10248,trehundrede og syvoghalvtreds; sekshundrede og femogtredive,1
10249,syvoghalvfjerds; tohundrede og et,1
10250,tohundrede og otteoghalvfjerds; firehundrede og femoghalvtreds,1
10251,sekshundrede og tooghalvtreds; syvhundrede og to,1
10252,syvogfyrre; toogtyve,0
10253,ottehundrede og niogtredive; ethundrede,0
10254,ethundrede og otteogfyrre; sekshundrede og treogtreds,1
10255,femhundrede og treoghalvfjerds; ottehundrede og syvogtredive,1
10256,nihundrede og femoghalvfjerds; syvhundrede og fireogtyve,0
10257,ottehundrede og otteogtreds; tohundrede og sytten,0
10258,trehundrede og seksoghalvfems; ottehundrede og femogfyrre,1
10259,trehundrede og enoghalvtreds; sekshundrede og femoghalvtreds,1
10260,tohundrede og femoghalvtreds; sekshundrede og seksogfirs,1
10261,sekshundrede og otteogtyve; trehundrede og femogtyve,0
10262,tohundrede og seksogfirs; nihundrede og femogfyrre,1
10263,ottehundrede og otteogfyrre; trehundrede og enoghalvfems,0
10264,ethundrede og fireogtredive; ethundrede og fireoghalvtreds,1
10265,tohundrede og syvoghalvfjerds; sekshundrede og tredive,1
10266,otteoghalvfems; sekshundrede og treoghalvfems,1
10267,firehundrede og treogfyrre; syvhundrede og syvogtyve,1
10268,seksogtredive; trehundrede og tooghalvfjerds,1
10269,femhundrede og treogtyve; syvhundrede og fireogfirs,1
10270,tohundrede og seksoghalvfjerds; sekshundrede og otte,1
10271,syvhundrede og syvoghalvtreds; firehundrede og femten,0
10272,treoghalvfjerds; sekshundrede og treogfyrre,1
10273,firehundrede og atten; sekshundrede og treogfyrre,1
10274,trehundrede og syvogtredive; ottehundrede og treogtreds,1
10275,sekshundrede og toogfyrre; tohundrede og fireogtyve,0
10276,enoghalvtreds; sytten,0
10277,sekshundrede og treogtreds; femhundrede og sytten,0
10278,sekshundrede og syvogtyve; trehundrede og femoghalvfems,0
10279,nihundrede og enogtyve; femhundrede og enoghalvfems,0
10280,femhundrede; sekshundrede og enoghalvfjerds,1
10281,firehundrede og femoghalvfems; ottehundrede og seksogfyrre,1
10282,firehundrede og syvoghalvfjerds; firehundrede og syvogfirs,1
10283,syvhundrede og femogfyrre; sekshundrede og seksogtreds,0
10284,sekshundrede; syvhundrede og femogtyve,1
10285,femhundrede og seksogtreds; ottehundrede og enogtredive,1
10286,ethundrede og niogtredive; femhundrede og enogtredive,1
10287,ottehundrede og seksoghalvtreds; sekshundrede og enogfirs,0
10288,nihundrede og femten; sekshundrede og enogtreds,0
10289,ottehundrede og syvogtreds; trehundrede og nioghalvfjerds,0
10290,ottehundrede og sytten; ottehundrede og femoghalvtreds,1
10291,ethundrede og tolv; ethundrede og nitten,1
10292,sekshundrede og seksogtyve; toogfyrre,0
10293,femhundrede og fire; firehundrede og seksogtyve,0
10294,femhundrede og femogfyrre; sekshundrede og niogfirs,1
10295,firehundrede og otteoghalvfems; syvhundrede og syv,1
10296,ethundrede og niogfirs; trehundrede og niogfyrre,1
10297,ottehundrede og treogfyrre; syvhundrede og elleve,0
10298,niogtyve; syvhundrede og seksogtredive,1
10299,nihundrede og fyrre; syvhundrede og tolv,0
10300,femhundrede og seksoghalvtreds; firehundrede og seksogtyve,0
10301,ottehundrede og tooghalvfems; syvhundrede og femogtyve,0
10302,trehundrede og nioghalvtreds; ethundrede og femogfyrre,0
10303,trehundrede og enogfirs; syvhundrede og treogfirs,1
10304,ethundrede og seksoghalvfjerds; sekshundrede og toogtredive,1
10305,sekshundrede og tolv; femhundrede og treoghalvtreds,0
10306,elleve; ethundrede og nioghalvtreds,1
10307,firehundrede og fireogfyrre; syvhundrede og femogtyve,1
10308,ethundrede og fire; niogtyve,0
10309,treoghalvfjerds; trehundrede og syvogtredive,1
10310,trehundrede og syvoghalvfems; syvhundrede og fireogfirs,1
10311,femhundrede og enoghalvfjerds; nihundrede og femoghalvfjerds,1
10312,femhundrede og atten; seksogfyrre,0
10313,firehundrede og enoghalvfjerds; femhundrede og enogtyve,1
10314,trehundrede og syvogfirs; trehundrede og tooghalvtreds,0
10315,ottehundrede og niogtyve; firehundrede og elleve,0
10316,nihundrede og halvfjerds; syvhundrede og toogtredive,0
10317,nihundrede og niogfirs; nihundrede og tretten,0
10318,tohundrede og fire; nihundrede og fireoghalvfems,1
10319,ethundrede og niogtyve; otte,0
10320,ethundrede og ti; tohundrede og nioghalvfjerds,1
10321,trehundrede og tooghalvfjerds; nihundrede og otteoghalvfjerds,1
10322,firehundrede og otteoghalvtreds; femhundrede og enoghalvfjerds,1
10323,firehundrede og otte; sekshundrede og sytten,1
10324,ottehundrede og tretten; syvhundrede og fireoghalvfems,0
10325,syvhundrede og niogfirs; ottehundrede og sytten,1
10326,trehundrede og fem; syvhundrede og halvtreds,1
10327,firehundrede og enogtredive; femogtreds,0
10328,ethundrede og femogtreds; nihundrede og seksoghalvfems,1
10329,femhundrede og seksogtreds; femhundrede og femoghalvfjerds,1
10330,trehundrede og toogfirs; sekshundrede og enogfirs,1
