,nums,labels
0,八百七十三; 五百三十九,0
14121,七百十五; 四百七十六,0
14122,九十; 六百三十五,1
14123,九百五十; 百八十,0
14124,三百八十; 百九十六,0
14125,七十七; 八百四十二,1
14126,百三; 七百六十四,1
14127,三百四; 七百八十九,1
14128,十八; 百十六,1
14129,四百八十四; 五百四十一,1
14130,八百八十八; 九十二,0
14131,三百七十五; 五百六十六,1
14132,五百七十一; 八百五十七,1
14133,九十五; 四百八十一,1
14134,六百三十七; 七百六十六,1
14135,七百五十五; 五百五十七,0
14136,四百七十四; 五百六十七,1
14137,九百十四; 九百四十六,1
14138,三百五十九; 六百二十四,1
14139,四百七十四; 七百三十一,1
14140,七百八十三; 三百二十三,0
14141,五十七; 九百八十八,1
14142,五百三; 三百四十六,0
14143,百六十二; 六百九,1
14144,八百五十三; 百二十五,0
14145,七百九十; 百三十三,0
14146,七百二十八; 九百三,1
14147,四百八十; 五百十七,1
14148,三百七十二; 九百七十三,1
14149,九百五十八; 七,0
14150,百七十九; 八百七十三,1
14151,二百四十六; 九百七十,1
14152,六百七十三; 五百四十五,0
14153,五百三; 五百三十,1
14154,五百三十四; 百七十一,0
14155,八百十二; 百九十九,0
14156,百七十四; 八百七十二,1
14157,二十一; 六百九十六,1
14158,七百四十五; 八百二十八,1
14159,八百二十七; 五百十四,0
14160,八百四十七; 六百十九,0
14161,五百三十五; 百三十,0
14162,二百四十二; 七百十三,1
14163,五百九十八; 六百十六,1
14164,百十六; 二百三十四,1
14165,八百五十七; 六百二,0
14166,四百十六; 八十七,0
14167,七百十八; 九百八十八,1
14168,二百五十四; 五百六十二,1
14169,九百九十二; 七百九十五,0
14170,七百八十二; 四百三十四,0
14171,二百八; 四百三十八,1
14172,七百七十八; 六十三,0
14173,五百九十九; 二百三十一,0
14174,二百五十二; 百七十九,0
14175,六百六十; 四百七十六,0
14176,九百七十一; 三百五十六,0
14177,四十五; 二百八十,1
14178,五百四十七; 七百四十八,1
14179,六百三十三; 四百十八,0
14180,九百四十六; 二百八十八,0
14181,五百九十六; 六百八十二,1
14182,八百十三; 七百三,0
14183,六百八十三; 三百五,0
14184,六百四十二; 七百十五,1
14185,五百七十二; 八十,0
14186,五百七; 二百四十二,0
14187,六百三十五; 六十,0
14188,四百五十七; 二百四,0
14189,三百八十三; 七百五十八,1
14190,九百六十六; 三百九十,0
14191,二百二十七; 百八十七,0
14192,四百十九; 五百四十二,1
14193,六百十; 九百三十六,1
14194,百三十三; 七百七,1
14195,九百四十二; 七百四十三,0
14196,六百七十五; 百二十四,0
14197,四百九; 二百八十九,0
14198,四百六十八; 百五十四,0
14199,九百一; 百五十三,0
14200,百七十九; 五十,0
14201,二百七十二; 百十六,0
14202,九百五十九; 四百七十三,0
14203,二百三十七; 九百八十二,1
14204,二百四十五; 五百十一,1
14205,九百十三; 三百八,0
14206,六百六十九; 四,0
14207,六百八; 三百二十,0
14208,百二; 八百八十二,1
14209,四百九十; 九百八十五,1
14210,二百三十五; 八百四十五,1
14211,八百三十三; 九十二,0
14212,二百五; 五百七十七,1
14213,七百三十九; 六百五十五,0
14214,四百七十二; 三百八十八,0
14215,三百八十六; 三百五十八,0
14216,六百二十二; 九百十六,1
14217,三百五十三; 五百五十六,1
14218,二百七十三; 四百四十四,1
14219,二十九; 六百二十,1
14220,八百三十八; 八百九十六,1
14221,八十四; 九百二十七,1
14222,四百九十五; 六百五十五,1
14223,八百四十一; 三百四十一,0
14224,七十; 二百六十八,1
14225,四十五; 三百九十八,1
14226,三百九十三; 八百三十三,1
14227,六百八十七; 百四,0
14228,七百九十六; 百三十六,0
14229,四百五十三; 百八十五,0
14230,九百十一; 九百二,0
14231,五百十一; 九十四,0
14232,三百五十; 五百八,1
14233,五百十七; 九百八,1
14234,七百四十; 二百三十五,0
14235,七百十四; 八百四十二,1
14236,三十八; 四百五十六,1
14237,八百六十九; 三百八十,0
14238,九百四十; 百六十,0
14239,四百七十八; 四百十三,0
14240,二百五十四; 六百六十三,1
14241,四百六十二; 六十八,0
14242,五百七十四; 百八十六,0
14243,八百九十七; 百七,0
14244,六百四十三; 四十六,0
14245,五百十八; 三百五十二,0
14246,百十五; 五百三,1
14247,四百六十六; 二百八十六,0
14248,八百四十七; 八百二十一,0
14249,九百; 五百四十,0
14250,三百八; 八百七十九,1
14251,三百七十二; 四百九十,1
14252,四百五; 七百十,1
14253,五百七十; 六百一,1
14254,九百九; 七百二十六,0
14255,七百九十; 九百十二,1
14256,二百十七; 三百八十四,1
14257,四百七十; 三百七十二,0
14258,百二十九; 四百五十三,1
14259,九百六十一; 六百三十二,0
14260,二百三十二; 三百八十二,1
14261,五百五十四; 二百九十,0
14262,三百四十; 八百六,1
14263,五百四十八; 八百十五,1
14264,四百七; 五百八十四,1
14265,九百十七; 九百二,0
14266,七百七十一; 五百七十五,0
14267,三百五十六; 五百六十六,1
14268,五百八十九; 三百四十三,0
14269,六; 二百七十二,1
14270,二百四; 四百八十二,1
14271,九百八十一; 八百六十八,0
14272,七百五十三; 六百五十五,0
14273,三百八; 三百三十一,1
14274,八百九十九; 八百七十七,0
14275,二百十八; 百九十八,0
14276,七百; 八百二十五,1
14277,九百九十一; 六百,0
14278,百五十七; 三百二十四,1
14279,八百十; 九十八,0
14280,七百二十三; 六百四十五,0
14281,八百十七; 七百七十四,0
14282,百十五; 三百六十九,1
14283,三十; 四百三十四,1
14284,五百二十六; 五百四十四,1
14285,二百九十; 八百六十九,1
14286,五百十六; 六百六十三,1
14287,七百四十二; 三百八十四,0
14288,五百九十七; 二百三十,0
14289,三百五十九; 八百九十四,1
14290,八百十三; 四百十五,0
14291,六百四十九; 五百五十五,0
14292,七百九十七; 五百三十三,0
14293,六百四十一; 六百二十二,0
14294,二百八十六; 二百六十二,0
14295,四百十八; 七百四十六,1
14296,五百三十; 五百五十四,1
14297,五百九十七; 五百十八,0
14298,八百四十八; 三百二十一,0
14299,五百十七; 四百九十六,0
14300,七百五十五; 六百五十三,0
14301,九百六十五; 九百二十七,0
14302,三百四十一; 八百七十二,1
14303,五百二十九; 六百五十九,1
14304,二百十八; 四百六十四,1
14305,百四十六; 四百九十,1
14306,六百五十九; 三百八十三,0
14307,九百六十二; 七百五十六,0
14308,三百七十七; 五百四十六,1
14309,八百三十四; 四百九十二,0
14310,三百二十一; 六百七十八,1
14311,三百四十九; 七百三十六,1
14312,八百六十六; 八百十三,0
14313,五百八十五; 三百六十四,0
14314,三百六十二; 九百六十一,1
14315,二百九十四; 七十八,0
14316,六百七; 六百六十九,1
14317,百七; 九百九十二,1
14318,三百五十二; 五十一,0
14319,三百三十; 二百九十八,0
14320,百四十六; 四百六十八,1
14321,七百二十一; 七百八十五,1
14322,四百三; 四百三十八,1
14323,四百; 五十九,0
14324,千; 五百三十二,0
14325,五百七十五; 七百十,1
14326,八百八十八; 七百四十七,0
14327,七百七十; 四百六十八,0
14328,二百九十九; 四百三十六,1
14329,七百五十七; 九百五十六,1
14330,七百四十五; 三百六十九,0
14331,三百八十九; 八百七十八,1
14332,二百八十七; 五百八十六,1
14333,六百三十三; 七百五十一,1
14334,八百九十七; 四百二十三,0
14335,七百二十八; 七百八十一,1
14336,二百十一; 七十七,0
14337,九百五十九; 九百七十一,1
14338,七百三十二; 四百十六,0
14339,九百八十三; 三百九十七,0
14340,六百二十二; 九百十九,1
14341,九十五; 八百七十七,1
14342,七十; 百七十五,1
14343,九百五十四; 五百十八,0
14344,九百十九; 四十一,0
14345,七百五十四; 五百六十七,0
14346,五百四; 七百二十七,1
14347,八百五十六; 八百五十七,1
14348,九百九十四; 八百五,0
14349,三百五十六; 二百一,0
14350,三十八; 七百四十三,1
14351,九百九十二; 二百九十三,0
14352,二百六十三; 五百五十九,1
14353,百五十八; 四百五十,1
14354,五百二十; 七百四,1
14355,五百七十三; 百六十五,0
14356,五百八十五; 六百五十九,1
14357,五百九十; 八百二十九,1
14358,二百四十一; 五百四,1
14359,五百八十二; 二百六十,0
14360,五百五十七; 四百五十七,0
14361,百六; 七百四十四,1
14362,二百三十二; 五百九十五,1
14363,八十一; 九十三,1
14364,三百七十四; 七百十,1
14365,百五十六; 八十三,0
14366,五十三; 四百八十五,1
14367,四百二十五; 二百七十三,0
14368,六百十二; 五百二,0
14369,八十九; 六百五十六,1
14370,九百七; 四百五十,0
14371,四百五十五; 九十,0
14372,二百八; 百三十九,0
14373,九百八十六; 八百六十八,0
14374,九百六十四; 七百八十九,0
14375,五十四; 百八十九,1
14376,五百七十; 七百五十二,1
14377,五十二; 二百三十九,1
14378,五十八; 二百八十,1
14379,八百八十一; 八百八十八,1
14380,三百四十九; 百十七,0
14381,二百三十三; 二百五十三,1
14382,六百十二; 五百七十四,0
14383,二百十七; 八百九十八,1
14384,百二十五; 九百七十二,1
14385,三百三十六; 六百三十七,1
14386,三百五十二; 七十,0
14387,百九十九; 九百一,1
14388,七百二十三; 九百五十三,1
14389,三百四十一; 七百二十四,1
14390,六百九十一; 六百七十七,0
14391,三十三; 二百十一,1
14392,四百六十八; 九百六十五,1
14393,四百十五; 九百十七,1
14394,三百三十二; 六百二十五,1
14395,五百三十四; 二百九,0
14396,四百九十七; 四十七,0
14397,六百一; 八百四十,1
14398,九百四十四; 六十四,0
14399,七; 二百六十九,1
14400,百十二; 百四十,1
14401,四百六十七; 四百六十三,0
14402,五百五十一; 二十三,0
14403,百五十六; 九百七十九,1
14404,六百八十三; 六百九十二,1
14405,二百七十二; 六百二十七,1
14406,三十五; 九十三,1
14407,百四十九; 百五十四,1
14408,三百九十五; 百八十三,0
14409,七百六十二; 三百四十五,0
14410,九百五十八; 二百六十八,0
14411,三百五十八; 五百三十二,1
14412,六百三十八; 二百五十二,0
14413,六百八十七; 三百五十二,0
14414,四百三十四; 百九十二,0
14415,四百四; 二百四十八,0
14416,二百九十一; 九百七十六,1
14417,三百十四; 百六十八,0
14418,九百五十三; 六百五十二,0
14419,九百六十八; 三百三十三,0
14420,四十七; 七百五十一,1
14421,四百八十八; 五百四十一,1
14422,八百五十八; 百五十二,0
14423,四十八; 九百九十五,1
14424,九百十五; 百五十八,0
14425,七百十六; 八百八,1
14426,七百九十八; 八百十五,1
14427,五百八十; 三百五十五,0
14428,九百四十七; 四百五十五,0
14429,五百三; 四百二十一,0
14430,二百四十三; 九百九十五,1
14431,七百六十; 百四十三,0
14432,九百九十三; 百七十,0
14433,九十九; 七百三十一,1
14434,六百九十三; 百五十,0
14435,七十八; 千,1
14436,九百二十三; 九百八十八,1
14437,百三十八; 六十一,0
14438,三百七十四; 九百七,1
14439,八百六十六; 三百八十二,0
14440,百一; 七百五十七,1
14441,三百五十一; 十五,0
14442,三百六十七; 五百三十八,1
14443,四百五十五; 九百六十一,1
14444,二十六; 八百六十四,1
14445,三百一; 三百三十一,1
14446,八百八十六; 百,0
14447,七百六十一; 二百五十四,0
14448,八十二; 四百七十八,1
14449,五百九; 八百九十六,1
14450,五百八十五; 九十三,0
14451,百九十六; 九百九十五,1
14452,五百二; 九十,0
14453,五百五十三; 八百二十四,1
14454,百四十一; 百六十九,1
14455,百六十三; 四百七十五,1
14456,五百九十三; 二百八,0
14457,五百三十一; 二百九十二,0
14458,九十二; 五百八十二,1
14459,七十四; 七百六十,1
14460,三百三十二; 七十,0
14461,八百六; 六百七十八,0
14462,五百九十二; 四百十七,0
14463,六百二十; 五百十八,0
14464,九百十七; 七,0
14465,五百一; 五百二十五,1
14466,四百二十四; 五百八十一,1
14467,五百九十四; 五百五十六,0
14468,二百六十; 九百一,1
14469,五百七十八; 二百八十五,0
14470,九百九十二; 五百八十五,0
14471,六百八十六; 百九十三,0
14472,九百九; 三百十三,0
14473,二百二十六; 二百五十九,1
14474,九十三; 九百四十三,1
14475,四百六十五; 八十三,0
14476,二十九; 四百三十三,1
14477,七十四; 三百三十二,1
14478,六百九十三; 五百五十四,0
14479,七百七十五; 九百十四,1
14480,二百三十一; 四百六,1
14481,七百五十七; 百九十九,0
14482,三百十一; 三十五,0
14483,八百四十; 八百五,0
14484,百二十三; 百六十六,1
14485,四百十二; 三百八十八,0
14486,四百五十六; 二百七十八,0
14487,五百六十八; 百四十二,0
14488,三百十七; 七百二,1
14489,四百十八; 九百十二,1
14490,百三十三; 六百四十八,1
14491,七十一; 九百五十一,1
14492,百八; 六百七十九,1
14493,九百四十八; 八百四十九,0
14494,三百三十八; 七百九十八,1
14495,七百三十七; 十四,0
14496,五百九十四; 百五十五,0
14497,四百九十四; 二百四十三,0
14498,六百二十六; 四百六十三,0
14499,三百二十一; 七百四,1
14500,二百八十七; 二百三十七,0
14501,六百六十四; 百八十五,0
14502,六百二十九; 七百六十一,1
14503,八百四十三; 五百六十二,0
14504,七百二十六; 二百十六,0
14505,六百五; 四百二十七,0
14506,六百七十五; 九百九十二,1
14507,八百六十四; 七百五十二,0
14508,四百七十; 八百六十二,1
14509,八百二十二; 四百一,0
14510,五百; 八百六十九,1
14511,百一; 百六十三,1
14512,九百三十三; 三百八十九,0
14513,五百十五; 九百三十六,1
14514,六百十六; 三百四十,0
14515,六百三十六; 百六,0
14516,四百四十; 五百二十二,1
14517,五百六十二; 三百四十,0
14518,七百四十五; 三百四十五,0
14519,三百五十五; 百八十一,0
14520,六百三十八; 七百三十一,1
14521,二百六; 九百四十,1
14522,九十二; 四百六十二,1
14523,六百四十九; 六百四十二,0
14524,四百六十九; 四十五,0
14525,七百八十六; 六百三十七,0
14526,二百五十五; 六百三十三,1
14527,三百十六; 六百二十二,1
14528,七十一; 六百八十八,1
14529,八百九十一; 三百五十三,0
14530,九百二十五; 二百九十一,0
14531,七百二十六; 百十,0
14532,五百七十二; 六百六十八,1
14533,百十; 八十五,0
14534,三百三十五; 十二,0
14535,六十二; 四百九十三,1
14536,六百九十二; 七百五十五,1
14537,八百三; 七百七十七,0
14538,九百八十六; 五百十八,0
14539,七百三十二; 六,0
14540,三百; 七百八十八,1
14541,二百七十二; 四百八十,1
14542,百四十八; 三十七,0
14543,九十九; 百七十,1
14544,三十七; 九百八十九,1
14545,六百六十九; 六百七十五,1
14546,百九十六; 九百五十九,1
14547,二百六; 五百三,1
14548,六百三十三; 七百三十七,1
14549,九百二十九; 五百二十三,0
14550,六百八; 四百八十四,0
14551,四百二十四; 九百七十一,1
14552,五百九十五; 五百九,0
14553,六百八十四; 九百六十九,1
14554,六; 九百四,1
14555,百二十七; 四百六十四,1
14556,二百七十四; 二十七,0
14557,二百二十八; 五百一,1
14558,七十八; 六百七十八,1
14559,三百五; 六百八十四,1
14560,二百九十四; 六百七,1
14561,七百八十二; 五百五十二,0
14562,四百三十七; 八,0
14563,八十九; 百三十四,1
14564,三十六; 八百四十六,1
14565,六十三; 五百七十五,1
14566,三百三十一; 百九十一,0
14567,四百四十五; 四百七十八,1
14568,三百五十四; 四百五十九,1
14569,九百六十二; 八百三十五,0
14570,八百九十六; 二十七,0
14571,九百四十五; 四百四十一,0
14572,八百四十九; 三百四十五,0
14573,八百二十三; 五百一,0
14574,九百九十五; 三百三十九,0
14575,八百四十九; 七百六十二,0
14576,五百六十三; 八百七十二,1
14577,二百六十二; 九百六十一,1
14578,百五十三; 七百十一,1
14579,六百八十四; 二百八十四,0
14580,五百五十九; 二百四十七,0
14581,三百; 八百三十三,1
14582,六百七十八; 四百五十六,0
14583,四百二十; 四百六十二,1
14584,二百十七; 六百三,1
14585,四百七十八; 百七十,0
14586,八百三十三; 七百,0
14587,百八十四; 四百五十六,1
14588,三十; 九百六十二,1
14589,八百七十一; 五百四十四,0
14590,八十七; 六百九十八,1
14591,八百二十二; 四百十七,0
14592,七百六十四; 九百六十四,1
14593,七百九十六; 百二十六,0
14594,六百二十六; 六百九,0
14595,八百八十七; 五百四十三,0
14596,八百三十四; 二百九十,0
14597,七百六十七; 二十九,0
14598,百四十; 二百八十九,1
14599,八百七十一; 四百九十四,0
14600,六百六十九; 四百四十二,0
14601,六百七十八; 六百三十一,0
14602,百十六; 九百八,1
14603,三百三十九; 三百十五,0
14604,百十三; 百四十三,1
14605,百六十四; 百七十二,1
14606,五百九十一; 四百九十四,0
14607,三百九十二; 六十九,0
14608,百二十三; 百七十二,1
14609,八百四十二; 百六十三,0
14610,百七十五; 九百六十五,1
14611,二百四十一; 六百二十一,1
14612,九百八; 四百四十四,0
14613,百九十一; 七百二十四,1
14614,百九十二; 九百九十二,1
14615,二百四十六; 二百二十四,0
14616,百三; 五十四,0
14617,三百四十六; 百四,0
14618,八百八十九; 四百八十七,0
14619,二百十三; 八十四,0
14620,三百六十八; 五十二,0
14621,三百五十九; 三百三,0
14622,二百九; 五百二十一,1
14623,百七十四; 二百七十八,1
14624,三百七十八; 二百二十七,0
14625,十六; 三百六十五,1
14626,五百七十七; 五百九,0
14627,五百十四; 六百三十八,1
14628,四百八十九; 四百三十六,0
14629,七百七十六; 四百八十七,0
14630,四百八十二; 九百六十八,1
14631,四百八十一; 七百三十,1
14632,七百二十; 四百五十七,0
14633,五百十四; 百八,0
14634,五十五; 三百五十八,1
14635,百六十六; 五百八,1
14636,三百三十五; 百五十九,0
14637,五十二; 九十四,1
14638,百五十八; 五百二十九,1
14639,三百五十; 七百二十,1
14640,百五十九; 百七十四,1
14641,三十二; 八百十七,1
14642,七百六十九; 三百八十四,0
14643,四百五十四; 二百五十二,0
14644,八百二; 七百七十四,0
14645,七十二; 五百七十八,1
14646,四百六十一; 四百十五,0
14647,八百五十五; 二百十七,0
14648,八百六十七; 五百四十一,0
14649,七百九十二; 五百二十四,0
14650,七百五十九; 七百七十三,1
14651,三十三; 七百四十八,1
14652,五百九十; 九百二十六,1
14653,五百九十五; 六百八十九,1
14654,四百八十二; 二百七十,0
14655,三百一; 二百十七,0
14656,七百一; 三,0
14657,百三十二; 四百六十三,1
14658,八百五十一; 三百七十四,0
14659,四百九十六; 百五十二,0
14660,二百三十七; 九百九十五,1
14661,五百六十二; 四百六十一,0
14662,七百六十四; 六百五十六,0
14663,六百八十四; 百三十七,0
14664,四百九; 百三,0
14665,百六; 五百三十七,1
14666,四百九十四; 八百九十九,1
14667,百九十; 百九十九,1
14668,七百八十二; 四百九十七,0
14669,四百九十一; 七百九十八,1
14670,四百六十八; 二十九,0
14671,六百十七; 七百六十五,1
14672,五百八十三; 四百九十,0
14673,四百九十七; 九百八十六,1
14674,九十八; 五百八十四,1
14675,三十七; 九百十,1
14676,八百三十三; 三百十七,0
14677,二百五; 四十三,0
14678,八百六十九; 七百二,0
14679,四百八十三; 百四十四,0
14680,八百七十二; 百五十,0
14681,六百六十二; 四百七十四,0
14682,二百五十二; 八百八十,1
14683,八百四十八; 九百五十八,1
14684,四百四十六; 百三十八,0
14685,百十八; 三百五十三,1
14686,三百四十六; 五百十三,1
14687,五十五; 三百二十,1
14688,三百七十六; 二百八十二,0
14689,四百九十七; 四百四十四,0
14690,五百三十五; 四百六十七,0
14691,百六十九; 九百八十五,1
14692,六百七十六; 七百五十一,1
14693,四百八十四; 七百六十四,1
14694,八十六; 八百四十九,1
14695,九百二; 六百五十五,0
14696,八百九十七; 五百一,0
14697,九百八十八; 四百二,0
14698,八百十九; 八百八十,1
14699,三百七十一; 九百二十八,1
14700,九百三十二; 五百二十,0
14701,九百八十四; 六百四十一,0
14702,四百五十二; 二百七十二,0
14703,三十一; 十九,0
14704,二百八; 三百三十九,1
14705,六百三十二; 百二十,0
14706,四百二; 五百六,1
14707,百一; 九十四,0
14708,二百五十七; 五百五十四,1
14709,九百六十二; 六百四十七,0
14710,五百六十; 三百六十五,0
14711,四百五十八; 五十一,0
14712,百六十; 二百七十一,1
14713,七百七十七; 五百十五,0
14714,千; 五百十二,0
14715,百十一; 六十七,0
14716,三十八; 九百九十四,1
14717,八百五; 九百四,1
14718,百七十; 五百七十三,1
14719,七百七; 八百六十二,1
14720,八百三十三; 二百二十一,0
14721,五十一; 九百十八,1
14722,百; 五百七十三,1
14723,七十四; 九百十六,1
14724,六百四十二; 七百六十六,1
14725,六十三; 四百四十一,1
14726,七百九; 百十四,0
14727,五百二十六; 五百九十六,1
14728,五百七十五; 五百四十九,0
14729,二百二十六; 六百五十一,1
14730,四百九十四; 五百六十三,1
14731,二百八十八; 八百四十五,1
14732,七百二十七; 九百九十九,1
14733,百五十四; 百一,0
14734,三百四; 二百八十三,0
14735,七百三十五; 百三十六,0
14736,六百八十四; 二百四十九,0
14737,六十五; 三百八十七,1
14738,九百五十八; 八百十,0
14739,八百十七; 百三十九,0
14740,三十二; 七百九十二,1
14741,二百三十七; 二百八十九,1
14742,五百八十三; 七十五,0
14743,二百二; 五十三,0
14744,四百十; 三百二十七,0
14745,九百三; 三百九,0
14746,七百三十四; 五百二十三,0
14747,九百十一; 六百六十四,0
14748,百四十二; 七百八十六,1
14749,六百四十五; 三百四十五,0
14750,四百六十八; 十二,0
14751,八百十; 五十八,0
14752,九百九十四; 二百四十四,0
14753,六百八十四; 五百一,0
14754,八十四; 八十三,0
14755,七百八十六; 百六,0
14756,百十四; 三百四十九,1
14757,三百五; 六十一,0
14758,百十五; 二,0
14759,八百三十六; 四百四十七,0
14760,五百二十一; 六百三十三,1
14761,八百六十六; 百十五,0
14762,九百八十; 三百九十五,0
14763,六百九十二; 三,0
14764,七百九十五; 七百五十二,0
14765,二百六十; 百二十五,0
14766,三百四十八; 九百九十九,1
14767,三百八; 七十,0
14768,三百五十; 五百六十六,1
14769,八百二十七; 七百八十四,0
14770,四百七十一; 五百五十八,1
14771,七百九十五; 六百九十三,0
14772,二百七十九; 三百五十五,1
14773,六百四十二; 八百十三,1
14774,八百六十七; 五百八,0
14775,四百八十六; 五百七十,1
14776,八百六十四; 五百八十三,0
14777,二百七; 百六十三,0
14778,六百六; 三百六十五,0
14779,四百二十五; 五百三十一,1
14780,七百三十六; 九百九十七,1
14781,三十一; 四百九十四,1
14782,八百八十一; 百六十六,0
14783,四百八十三; 二百十三,0
14784,二百八十二; 三十八,0
14785,二百四; 百九十二,0
14786,五百四十八; 八百三十八,1
14787,八百六十八; 八百七十五,1
14788,九百四十七; 二百十九,0
14789,七百七十五; 七百四十八,0
14790,六百三十九; 七百二十四,1
14791,九百九十七; 五百二十四,0
14792,九百八十一; 六百五十,0
14793,五百七十四; 二百七,0
14794,百二; 六百五十二,1
14795,八百八十一; 六百八,0
14796,百九十六; 五百十一,1
14797,二百四十二; 三百二,1
14798,六百十九; 九百六十七,1
14799,四百三十五; 九百七十八,1
14800,二百三十六; 八百六十二,1
14801,七百九十三; 六百六十八,0
14802,三百三十二; 五百七十八,1
14803,九百七十四; 五百八十七,0
14804,四百四十六; 六百三十三,1
14805,二十; 八百十九,1
14806,八百九十一; 二十九,0
14807,九百四十三; 六百五十九,0
14808,六百一; 六百八十一,1
14809,四百六十六; 三百八十八,0
14810,六百九十一; 四百八十六,0
14811,七百九十二; 九百三十八,1
14812,七百十六; 四百六十,0
14813,三百四十; 五百三十四,1
14814,九十四; 六百七,1
14815,三十一; 九百七十一,1
14816,五百五十七; 七百五十四,1
14817,百五; 三百六十二,1
14818,六十一; 七百三十七,1
14819,六百三十六; 七百二十,1
14820,八百十四; 五百四十八,0
14821,三百二十七; 七百八十三,1
14822,百八十; 六百十六,1
14823,八百十三; 五百三十六,0
14824,四百六十五; 九百九十三,1
14825,二百八十一; 七百一,1
14826,六百八十九; 八百七十五,1
14827,五百四十六; 五百六十九,1
14828,二百二十二; 八百二十三,1
14829,五百五十八; 九百七十二,1
14830,六百四十四; 五百九十二,0
14831,七百七十一; 三十三,0
14832,三百三十三; 三百四十七,1
14833,六百八十三; 五百七,0
14834,三百九十二; 三百三,0
14835,六百五十; 三百九十八,0
14836,八百七; 四百三十八,0
14837,四百二十一; 四百四十,1
14838,二百十二; 六百四十二,1
14839,八百九十九; 九百五十七,1
14840,四百十一; 六百七十二,1
14841,百四十七; 七百三十七,1
14842,四百七; 三百四十一,0
14843,百二; 五百九,1
14844,百六十; 百六十七,1
14845,二百八十八; 五百九十六,1
14846,六百二; 百九十,0
14847,七百十三; 二百八,0
14848,五百七十九; 七百五十五,1
14849,五百九十七; 二百四十六,0
14850,八百二十四; 五百二十八,0
14851,三百四十一; 七百八十,1
14852,百四十七; 六百五十九,1
14853,三百七十八; 三百四十八,0
14854,二十七; 六十九,1
14855,四百五十七; 二百七十八,0
14856,七百四十三; 三百八十四,0
14857,六百二十一; 二百七十一,0
14858,六百三十九; 七百五十八,1
14859,二十二; 六百九十三,1
14860,三十四; 九百九十二,1
14861,五百四十; 二百三,0
14862,六百三十二; 四百九,0
14863,四十八; 五百二十八,1
14864,六百八; 二百九,0
14865,九百三; 五百七十,0
14866,三百五十二; 八百五十三,1
14867,八百三十一; 八十四,0
14868,四百七; 七百九十,1
14869,百四十四; 二百二十四,1
14870,六百二十八; 五百三十,0
14871,三百六十九; 四百八十八,1
14872,百四十; 百四十七,1
14873,五百八十六; 七百七十三,1
14874,五百四十四; 二百三十,0
14875,十四; 六百六十三,1
14876,九百九十四; 八百五十六,0
14877,四百九十七; 百二,0
14878,九百七十六; 二百九十二,0
14879,四百五十五; 七百四十八,1
14880,五十八; 五百十九,1
14881,五百二十; 五百九十二,1
14882,九百七十一; 二十五,0
14883,四百十九; 百五十五,0
14884,百二十一; 七百六十七,1
14885,五百七十六; 百五十三,0
14886,五百五十一; 二百八,0
14887,五百九十六; 四百二十八,0
14888,六百五十六; 三百七十三,0
14889,八百六十四; 百四十八,0
14890,五百三十四; 二百九十九,0
14891,七百二十二; 九百十七,1
14892,八百十三; 百二十,0
14893,九百四十四; 二百五十六,0
14894,三百二十七; 六百八十四,1
14895,六百八十三; 六,0
14896,八十二; 七百三十三,1
14897,八百四十四; 百九十九,0
14898,三百二十三; 三百六十一,1
14899,九百七十三; 九百一,0
14900,百三十; 六百七十五,1
14901,九百三十三; 三百八十一,0
14902,九百八十四; 九百七十八,0
14903,百五十二; 九十一,0
14904,六百四十四; 三百四十六,0
14905,九百三十四; 五百六十四,0
14906,二百十一; 六,0
14907,三百四十六; 七百十六,1
14908,四百九十一; 六百五十九,1
14909,二百九十一; 四百八十七,1
14910,三百七十九; 三百十九,0
14911,八百六十五; 七百六十八,0
14912,三百三十; 五百五十八,1
14913,四百二十五; 二十八,0
14914,百十五; 七百七十二,1
14915,六百五十二; 九百三十八,1
14916,九百四十九; 二百十三,0
14917,三百七十二; 六百七十八,1
14918,四百六; 百三十,0
14919,四百四十五; 八百七十,1
14920,六百九十八; 三百五十二,0
14921,八百五十九; 四百九十一,0
14922,百九十; 五百十八,1
14923,三百五十二; 四十七,0
14924,二十六; 七百二十三,1
14925,四百八十一; 百六十六,0
14926,七百三十七; 三百八十九,0
14927,百; 五百九十七,1
14928,五百六十三; 六百,1
14929,九百五十一; 六百三十,0
14930,四百十九; 五百十,1
14931,九百二十九; 八百四,0
14932,三百八十五; 三十八,0
14933,四百五十四; 八百四十六,1
14934,五百七十七; 四百九十五,0
14935,三百三十七; 四百十九,1
14936,三百二十三; 二百七,0
14937,百九十八; 七百四十九,1
14938,百九; 八百三十九,1
14939,三百七; 三百九,1
14940,八百八十九; 四百五十三,0
14941,二百八十九; 三百七十八,1
14942,七十三; 七百五十四,1
14943,三百十四; 二百五,0
14944,九百九十三; 四百三十五,0
14945,九百八十七; 百十八,0
14946,四百三十; 七百三,1
14947,六百八十五; 二百四,0
14948,二百六十四; 八百三十六,1
14949,五百九十二; 三百四十八,0
14950,二百二十九; 四百七,1
14951,七百五十二; 四百三十四,0
14952,二百八十九; 七,0
14953,百十四; 八百,1
14954,七百六十三; 五百三十一,0
14955,五百二十五; 二百七十七,0
14956,二百一; 八百四十四,1
14957,九十八; 三百五十一,1
14958,三百四十一; 二百八十八,0
14959,六百三十八; 二百七十四,0
14960,五百十一; 二,0
14961,二百四十三; 三百二十六,1
14962,六百十五; 七百五十四,1
